Estimate ID,Estimate Date,Estimate Number,Status,Customer ID,Due Date,Sub Total (BCY),Total (BCY),Adjustment (BCY),Sales Person ID,Last Modified Time,Created Time,Discount (%),Purchase Order#,Currency Code,Exchange Rate,CRM Reference ID
4198696000004710047,12 Apr 2024,EST-000056,draft,4198696000004728019,,"CRC 118,141.59",CRC 133.50K,CRC 0.00,4198696000004090001,2024-04-12 11:19:06,2024-04-12 11:19:06,CRC 0.00,,CRC,CRC 1.00,
4198696000004711035,12 Apr 2024,EST-000055,draft,4198696000004723013,,"CRC 86,725.66",CRC 98.00K,CRC 0.00,4198696000004090001,2024-04-12 10:20:36,2024-04-12 10:19:41,CRC 0.00,,CRC,CRC 1.00,
4198696000004719161,12 Apr 2024,EST-000057,draft,4198696000004726115,,"CRC 106,814.16",CRC 120.70K,CRC 0.00,4198696000000396011,2024-04-12 12:13:13,2024-04-12 12:13:13,CRC 0.00,,CRC,CRC 1.00,
4198696000004753001,13 Apr 2024,EST-000058,draft,4198696000004072003,,"CRC 283,185.84",CRC 320.00K,CRC 0.00,4198696000004090001,2024-04-13 10:25:46,2024-04-13 10:25:46,CRC 0.00,,CRC,CRC 1.00,
4198696000004848024,17 Apr 2024,EST-000059,draft,4198696000002898109,,"CRC 188,938.06",CRC 213.50K,CRC 0.00,4198696000000396015,2024-04-17 16:24:46,2024-04-17 16:22:10,CRC 0.00,,CRC,CRC 1.00,
4198696000005010025,25 Apr 2024,EST-000062,draft,4198696000004072003,,"CRC 21,504.42",CRC 24.30K,CRC 0.00,4198696000004090001,2024-04-25 12:36:35,2024-04-25 12:36:35,CRC 0.00,,CRC,CRC 1.00,
4198696000005018033,25 Apr 2024,EST-000061,draft,4198696000004072003,,"CRC 75,575.22",CRC 85.40K,CRC 0.00,4198696000004090001,2024-04-25 12:13:32,2024-04-25 12:13:32,CRC 0.00,,CRC,CRC 1.00,
4198696000005020041,25 Apr 2024,EST-000063,sent,4198696000005014059,,"CRC 45,929.20",CRC 51.90K,CRC 0.00,4198696000000396011,2024-04-25 13:48:47,2024-04-25 13:47:40,CRC 0.00,,CRC,CRC 1.00,
4198696000005026001,25 Apr 2024,EST-000060,draft,4198696000004072003,,"CRC 82,654.87",CRC 93.40K,CRC 0.00,4198696000004090001,2024-04-25 12:05:04,2024-04-25 12:05:04,CRC 0.00,,CRC,CRC 1.00,
4198696000005118471,29 Apr 2024,EST-000065,draft,4198696000005121091,,"CRC 54,000.00",CRC 61.02K,CRC 0.00,4198696000000396023,2024-04-29 13:57:03,2024-04-29 13:57:03,CRC 0.00,,CRC,CRC 1.00,
4198696000005134307,29 Apr 2024,EST-000064,draft,4198696000004072003,,"CRC 185,840.71",CRC 210.00K,CRC 0.00,4198696000004090001,2024-04-29 13:51:13,2024-04-29 13:51:13,CRC 0.00,,CRC,CRC 1.00,
4198696000005282071,06 May 2024,EST-000066,draft,4198696000002898109,,"CRC 113,982.29",CRC 128.80K,CRC 0.00,4198696000000396015,2024-05-06 10:13:12,2024-05-06 10:13:12,CRC 0.00,,CRC,CRC 1.00,
4198696000005286055,06 May 2024,EST-000067,draft,4198696000004483871,,"CRC 108,053.09",CRC 122.10K,CRC 0.00,4198696000000396015,2024-05-08 09:02:52,2024-05-06 11:19:15,CRC 0.00,,CRC,CRC 1.00,
4198696000005287122,07 May 2024,EST-000068,draft,4198696000005297080,,"CRC 71,592.92",CRC 80.90K,CRC 0.00,4198696000004090001,2024-05-07 10:19:32,2024-05-07 10:19:32,CRC 0.00,,CRC,CRC 1.00,
4198696000005302069,07 May 2024,EST-000069,draft,4198696000004072003,,"CRC 72,212.39",CRC 81.60K,CRC 0.00,4198696000004090001,2024-05-07 10:41:15,2024-05-07 10:38:10,CRC 0.00,,CRC,CRC 1.00,
4198696000005396001,09 May 2024,EST-000070,sent,4198696000005394003,,"CRC 144,513.28",CRC 163.30K,CRC 0.00,4198696000000396015,2024-05-13 17:19:49,2024-05-09 12:15:40,CRC 0.00,,CRC,CRC 1.00,
4198696000005405007,09 May 2024,EST-000071,sent,4198696000005409003,,"CRC 94,424.78",CRC 106.70K,CRC 0.00,4198696000000396023,2024-05-09 14:09:56,2024-05-09 14:09:39,CRC 0.00,,CRC,CRC 1.00,
4198696000005435186,10 May 2024,EST-000073,draft,4198696000004072003,,"CRC 42,477.88",CRC 48.00K,CRC 0.00,4198696000004090001,2024-05-10 17:01:44,2024-05-10 17:01:44,CRC 0.00,,CRC,CRC 1.00,
4198696000005443041,10 May 2024,EST-000072,draft,4198696000004072003,,"CRC 17,699.12",CRC 20.00K,CRC 0.00,4198696000004090001,2024-05-10 11:27:29,2024-05-10 11:27:29,CRC 0.00,,CRC,CRC 1.00,
4198696000005548117,15 May 2024,EST-000074,draft,4198696000004072003,,"CRC 115,044.25",CRC 130.00K,CRC 0.00,4198696000004090001,2024-05-15 13:54:04,2024-05-15 13:54:04,CRC 0.00,,CRC,CRC 1.00,
4198696000005586001,16 May 2024,EST-000075,draft,4198696000004072003,,"CRC 30,973.45",CRC 35.00K,CRC 0.00,4198696000004090001,2024-05-16 13:38:25,2024-05-16 13:38:25,CRC 0.00,,CRC,CRC 1.00,
4198696000005601057,17 May 2024,EST-000076,draft,4198696000004723013,,"CRC 34,778.76",CRC 39.30K,CRC 0.00,4198696000004090001,2024-05-17 11:53:34,2024-05-17 11:30:48,CRC 0.00,,CRC,CRC 1.00,
4198696000005633095,20 May 2024,EST-000078,draft,4198696000004072003,,"CRC 60,176.99",CRC 68.00K,CRC 0.00,4198696000004090001,2024-05-20 16:09:07,2024-05-20 16:09:07,CRC 0.00,,CRC,CRC 1.00,
4198696000005648025,20 May 2024,EST-000077,draft,4198696000002898109,,"CRC 9,292.04",CRC 10.50K,CRC 0.00,4198696000000396015,2024-05-20 10:40:05,2024-05-20 10:40:05,CRC 0.00,,CRC,CRC 1.00,
4198696000005837057,24 May 2024,EST-000079,draft,4198696000005826087,,"CRC 136,371.69",CRC 154.10K,CRC 0.00,4198696000004090001,2024-05-24 13:47:34,2024-05-24 13:47:34,CRC 0.00,,CRC,CRC 1.00,
4198696000005890216,28 May 2024,EST-000081,draft,4198696000004072003,,"CRC 12,389.38",CRC 14.00K,CRC 0.00,4198696000004090001,2024-05-28 11:56:38,2024-05-28 11:56:38,CRC 0.00,,CRC,CRC 1.00,
4198696000005897085,27 May 2024,EST-000080,draft,4198696000004072003,,"CRC 70,796.47",CRC 80.00K,CRC 0.00,4198696000004090001,2024-05-27 13:56:21,2024-05-27 13:56:21,CRC 0.00,,CRC,CRC 1.00,
4198696000007946011,30 Aug 2024,EST-000082,draft,4198696000001490001,,"CRC 175,079.65",CRC 197.84K,CRC 0.00,4198696000000396015,2025-04-07 10:02:43,2024-07-30 14:57:39,CRC 0.00,,CRC,CRC 1.00,
4198696000008237038,08 Aug 2024,EST-000083,draft,4198696000008247045,,"CRC 177,168.14",CRC 200.20K,CRC 0.00,4198696000000396015,2024-08-08 12:18:48,2024-08-08 12:18:48,CRC 0.00,,CRC,CRC 1.00,
4198696000008430090,13 Aug 2024,EST-000084,draft,4198696000008430067,,"CRC 118,159.29",CRC 133.52K,CRC 0.00,4198696000000396015,2024-08-13 13:49:19,2024-08-13 13:39:09,CRC 0.00,,CRC,CRC 1.00,
4198696000008889087,28 Aug 2024,EST-000086,draft,4198696000003454696,,"CRC 55,752.20",CRC 63.00K,CRC 0.00,4198696000000396015,2024-09-19 18:05:00,2024-08-28 12:34:44,CRC 0.00,,CRC,CRC 1.00,
4198696000008898045,27 Aug 2024,EST-000085,draft,4198696000008887053,,"CRC 201,769.91",CRC 201.77K,CRC 0.00,4198696000000396015,2024-08-27 16:07:23,2024-08-27 15:26:45,CRC 0.00,,CRC,CRC 1.00,
4198696000008965011,29 Aug 2024,EST-000087,sent,4198696000006362929,,"CRC 247,964.60",CRC 280.20K,CRC 0.00,4198696000000396015,2025-04-03 11:17:24,2024-08-29 10:49:01,CRC 0.00,,CRC,CRC 1.00,
4198696000009638011,12 Sep 2024,EST-000088,draft,4198696000008247045,,"CRC 88,168.14",CRC 99.63K,CRC 0.00,4198696000000396015,2024-09-12 17:19:47,2024-09-12 17:19:47,CRC 0.00,,CRC,CRC 1.00,
4198696000009830101,18 Sep 2024,EST-000089,draft,4198696000009856029,,"CRC 41,592.92",CRC 47.00K,CRC 0.00,4198696000000396015,2024-09-18 12:55:01,2024-09-18 11:56:26,CRC 0.00,,CRC,CRC 1.00,
4198696000009935215,23 Sep 2024,EST-000090,draft,4198696000009942227,,"CRC 116,371.69",CRC 131.50K,CRC 0.00,4198696000000396015,2024-09-23 15:48:59,2024-09-23 13:55:22,CRC 0.00,,CRC,CRC 1.00,
4198696000009977021,25 Sep 2024,EST-000091,draft,4198696000009980005,,"CRC 126,902.66",CRC 143.40K,CRC 0.00,4198696000000396015,2024-09-25 12:44:16,2024-09-25 11:49:36,CRC 0.00,,CRC,CRC 1.00,
4198696000010318215,03 Oct 2024,EST-000093,draft,4198696000010298085,,"CRC 25,840.71",CRC 29.20K,CRC 0.00,4198696000000396015,2024-10-03 12:16:36,2024-10-03 12:16:36,CRC 0.00,,CRC,CRC 1.00,
4198696000010320058,02 Oct 2024,EST-000092,draft,4198696000008247045,,"CRC 106,567.25",CRC 120.42K,CRC 0.00,4198696000000396015,2024-10-02 15:51:44,2024-10-02 15:51:44,CRC 0.00,,CRC,CRC 1.00,
4198696000012456081,19 Nov 2024,EST-000094,sent,4198696000012456047,,"CRC 178,672.56",CRC 201.90K,CRC 0.00,4198696000011833049,2024-11-26 14:54:15,2024-11-19 11:51:59,CRC 0.00,,CRC,CRC 1.00,
4198696000012834075,25 Nov 2024,EST-000095,draft,4198696000000917003,30 Nov 2024,"CRC 25,840.71",CRC 29.20K,CRC 0.00,4198696000011833049,2024-11-26 14:54:15,2024-11-25 16:27:30,CRC 0.00,,CRC,CRC 1.00,
4198696000013012050,27 Nov 2024,EST-000097,draft,4198696000000917003,,"CRC 73,362.83",CRC 82.90K,CRC 0.00,4198696000011833049,2024-11-29 13:31:15,2024-11-27 17:32:25,CRC 0.00,,CRC,CRC 1.00,
4198696000013037001,27 Nov 2024,EST-000096,invoiced,4198696000011363368,,"CRC 57,479.65",CRC 64.95K,CRC 0.00,4198696000005969207,2024-11-27 17:01:31,2024-11-27 14:38:02,CRC 0.00,,CRC,CRC 1.00,
4198696000013346216,03 Dec 2024,EST-000098,draft,4198696000011800001,31 Dec 2024,"CRC 335,433.62",CRC 379.04K,CRC 0.00,4198696000007629241,2024-12-03 17:03:35,2024-12-03 17:03:35,CRC 0.00,,CRC,CRC 1.00,
4198696000013451003,06 Dec 2024,EST-000099,draft,4198696000000917003,,"CRC 55,840.71",CRC 63.10K,CRC 0.00,4198696000011833049,2024-12-06 10:12:53,2024-12-06 10:12:53,CRC 0.00,,CRC,CRC 1.00,
4198696000013451076,06 Dec 2024,EST-000100,invoiced,4198696000013451052,31 Dec 2024,"CRC 71,946.90",CRC 81.30K,CRC 0.00,4198696000007629241,2024-12-06 16:11:36,2024-12-06 12:05:07,CRC 0.00,,CRC,CRC 1.00,
4198696000013451125,06 Dec 2024,EST-000101,invoiced,4198696000013451101,,"CRC 7,433.63",CRC 8.40K,CRC 0.00,4198696000007629241,2024-12-06 12:35:23,2024-12-06 12:16:42,CRC 0.00,,CRC,CRC 1.00,
4198696000013522019,07 Dec 2024,EST-000102,sent,4198696000000917003,,"CRC 94,159.30",CRC 106.40K,CRC 0.00,4198696000012157362,2024-12-07 11:24:21,2024-12-07 11:23:56,CRC 0.00,,CRC,CRC 1.00,
4198696000013730023,10 Dec 2024,EST-000103,draft,4198696000000917003,,"CRC 73,008.85",CRC 82.50K,CRC 0.00,4198696000011833049,2024-12-10 17:40:40,2024-12-10 17:40:40,CRC 0.00,,CRC,CRC 1.00,
4198696000013936011,12 Dec 2024,EST-000104,draft,4198696000000917003,,"CRC 15,309.74",CRC 17.30K,CRC 0.00,4198696000000396011,2024-12-12 10:51:12,2024-12-12 10:51:12,CRC 0.00,,CRC,CRC 1.00,
4198696000013992023,13 Dec 2024,EST-000105,invoiced,4198696000011363368,,"CRC 176,591.16",CRC 199.55K,CRC 0.00,4198696000005969207,2025-01-24 12:28:14,2024-12-13 09:20:52,CRC 0.00,,CRC,CRC 1.00,
4198696000014217105,17 Dec 2024,EST-000106,sent,4198696000014238428,,"CRC 142,559.29",CRC 161.09K,CRC 0.00,4198696000005969207,2024-12-17 16:37:53,2024-12-17 16:37:40,CRC 0.00,,CRC,CRC 1.00,
4198696000014272104,18 Dec 2024,EST-000107,sent,4198696000014266442,,"CRC 360,102.64",CRC 406.92K,CRC 0.00,4198696000005969207,2024-12-18 13:09:21,2024-12-18 13:09:10,CRC 0.00,,CRC,CRC 1.00,
4198696000014378063,19 Dec 2024,EST-000108,sent,4198696000011363368,,"CRC 152,300.88",CRC 172.10K,CRC 0.00,4198696000005969207,2024-12-19 12:08:33,2024-12-19 11:53:37,CRC 0.00,,CRC,CRC 1.00,
4198696000014503097,20 Dec 2024,EST-000109,draft,4198696000000917003,20 Dec 2024,"CRC 71,150.44",CRC 80.40K,CRC 0.00,4198696000012157362,2024-12-20 16:47:01,2024-12-20 16:47:01,CRC 0.00,,CRC,CRC 1.00,
4198696000014977007,03 Jan 2025,EST-000110,sent,4198696000000917003,,"CRC 262,566.38",CRC 296.70K,CRC 0.00,4198696000012157362,2025-01-03 14:54:01,2025-01-03 14:53:57,CRC 0.00,,CRC,CRC 1.00,
4198696000015146001,07 Jan 2025,EST-000111,draft,4198696000005207114,,"CRC 82,555.75",CRC 93.29K,CRC 0.00,4198696000000396009,2025-01-07 10:44:23,2025-01-07 10:43:23,CRC 0.00,,CRC,CRC 1.00,
4198696000015319846,09 Jan 2025,EST-000112,draft,4198696000000917003,09 Jan 2025,"CRC 13,362.83",CRC 15.10K,CRC 0.00,4198696000011833049,2025-01-09 17:13:23,2025-01-09 17:13:23,CRC 0.00,,CRC,CRC 1.00,
4198696000015319940,09 Jan 2025,EST-000113,draft,4198696000000917003,,"CRC 119,026.54",CRC 134.50K,CRC 0.00,4198696000011833049,2025-01-09 17:17:31,2025-01-09 17:17:31,CRC 0.00,,CRC,CRC 1.00,
4198696000015384003,10 Jan 2025,EST-000114,draft,4198696000000917003,,"CRC 272,743.36",CRC 308.20K,CRC 0.00,4198696000000396015,2025-01-10 11:04:33,2025-01-10 11:04:33,CRC 0.00,,CRC,CRC 1.00,
4198696000015419057,10 Jan 2025,EST-000115,draft,4198696000015399707,,"CRC 56,991.14",CRC 64.40K,CRC 0.00,4198696000011833049,2025-01-10 17:46:17,2025-01-10 17:46:17,CRC 0.00,,CRC,CRC 1.00,
