Supplier Code,Manufacturer,SKU,Item Name,Quantity Available,Quantity Used,Stock Sales Ratio
SL97518,Ningbo Sunshine Auto Parts Co,114-72,SET CABLES DE BUJIA TOYOTA HILUX 2.4 22R .,41.00,9.00,67.21311475409836
90919-02237,Ningbo Sunshine Auto Parts Co,259-113,BOBINA DE ENCENDIDO 4 PINES TOYOTA  PRADO 3RZ,6.00,4.00,21.686746987951807
04466-02180 04466-02181 04466-02280 04466-02170 04466-02180 04466-02181 04466-02182 04466-02280 04466-02290 04466-02291 04466-02170 04466-02300 04466-02292 04466-YZZE3,Ningbo Sunshine Auto Parts Co,214-45,Pastilla Freno Trasera Toyota Auris 1.2 1.3 1.33 1.4 1.5 1.6 1.8 2.0 2.2 4WD 2006-2018 Corolla 1.3 1.4 1.6 1.8 2.0 2006-2019,19.00,1.00,247.82608695652175
D973,Ningbo Sunshine Auto Parts Co,214-7,FIBRA DE FRENO DELANTERA HORIZON FORD COURIER/ ISUZU/ NISSAN 1 TONNER/ SKYLINE OPEL RECORD 1987,19.00,1.00,247.82608695652175
00491-87716-000 0049187716000 41000-10G08 41060-2S790 41060-05N92 41060-08N90 41060-08N91 41060-08N92 41060-09G90 41060-0H590 41060-18V92 41060-23C90 26296-AA050 26296-AA051 41060-23C93 41060-23C94 41060-25N25 41060-27N91 41060-27N93 41060-2S790,Ningbo Sunshine Auto Parts Co,214-89,Pastilla Freno Delantro Nissan Pathfinder I II 2.4 2.7 3.0 3.2 4WD 1986-2004 Pick Up 2.0 2.4 2.5 2.7 3.2 4WD 1987-2012 NP300 2.5 4x4 2008- Terrano II 2.4 2.7 3.0 4WD 1993-2007 Urvan 1986-1997,18.00,2.00,125.5813953488372
90385/18046,Ningbo Sunshine Auto Parts Co,44-30,BUSHING DE BALLESTA EN NYLON TRASERO INFERIOR ISUZU KB SERIES/ TOYOTA HILUX/ HIACE/ VEN E ID17/ OD30/ L35,92.00,8.00,169.32515337423314
8mm,Ningbo Sunshine Auto Parts Co,29-12,SET TORRES DE ESTABILIZADORA DELANTERA TOYOTA HILUX/ HIACE YN 8MM .,198.00,2.00,1381.3953488372092
246-525,Ningbo Sunshine Auto Parts Co,246-525,DEPOSITO DE RESERVA P/REFRIGERANTE NISSAN NP200 2008,9.00,1.00,117.3913043478261
2440,Ningbo Sunshine Auto Parts Co,318-7,PLATO DE PRESION (CLUTCH) TOYOTA COROLLA/ CONQUEST 1.6 4A 1988-1998 .,7.00,3.00,33.33333333333333
343295,Ningbo Sunshine Auto Parts Co,341-58,COMPENSADOR TRASERO TOYOTA VITZ/ ECHO/ PLATZ 1999-2005 IMPORTS YARIS TOYOTA PLAZA,0.00,10.00,0
HLL011525  RH,Ningbo Sunshine Auto Parts Co,245-140,FOCO TRASERO (STOP) RH TOYOTA HILUX YN 55 - 65 HUECO DESCENTRADO,5.00,5.00,14.563106796116505
HLL01-1442 L,Ningbo Sunshine Auto Parts Co,245-470,FOCO TRASERO (STOP) LH TOYOTA QUANTUM 2005-2013 .,0.00,10.00,0
HLL01-1586 LH,Ningbo Sunshine Auto Parts Co,245-563,FOCO TRASERO (STOP) LH  TOYOTA HILUX VIGO 2011-2015 .,0.00,10.00,0
CLS-180H,Ningbo Sunshine Auto Parts Co,112-459,TERMINALES DE BATERIA CARGA PESADA 24V,496.00,4.00,1792.7710843373493
GUMZ6,Ningbo Sunshine Auto Parts Co,43-56,UNION UNIVERSAL 28/ 59/ CLIP INTERNO,48.00,2.00,334.8837209302325
7441188200500,Lapa Green,343-3,ABRILLANTADOR MULTIUSO 1 GALON,3.00,2.00,20.930232558139533
7441188200029,Lapa Green,343-17,COOLANT ANTICORROSIVO VERDE 1 GALON,0.00,12.00,0
224118721,ACELUB (Aceites y Lubricantes) S.A.,106-14,CHEVRON SUPREME MO 10W30 SP CUARTO,0.00,168.00,0
226537482,ACELUB (Aceites y Lubricantes) S.A.,106-22,CHEVRON HAVOLINE GLOBAL MV ATF CUARTO,0.00,42.00,0
743255UGV,ACELUB (Aceites y Lubricantes) S.A.,106-3,CHEVRON URSA HD SAE 40 GALON,36.00,6.00,87.80487804878048
224118721,ACELUB (Aceites y Lubricantes) S.A.,106-14,CHEVRON SUPREME MO 10W30 SP CUARTO,0.00,168.00,0
226537482,ACELUB (Aceites y Lubricantes) S.A.,106-22,CHEVRON HAVOLINE GLOBAL MV ATF CUARTO,0.00,42.00,0
1444VH,,3-108,FILTRO AIRE CITROEN BERLINGO 1.1 1.4 02.12- PEUGEOT PARTHER 1.6 01.15-,0.00,3.00,0
26300-35505 26300-35502 15400-PR3-004 2630035505 2630035502 15400PR3004 PH2808 PH9688 3-59 530-0002 254-502 254-508 254-500,,3-59,FILTRO ACEITE PH2808 HYUNDAI MITSUBISHI HONDA  50,0.00,3.00,0
26320-2F000,REPUESTOS BARRIO SAN JOSE DE ALAJUELA SOCIEDAD ANONIMA,3-62,"FILTRO ACEITE SANTA FE SORENTO 10- 2,2 diesel SPORTAGE CARNIVAL 2,0 10- IX35 V",0.00,3.00,0
17801-0Y040,ARH DE ALAJUELA S.A.,3-42,FILTRO AIRE YARIS 14-ETIOS 16-1.5 2NZ 1NZ 4NR MIRAGE 12- 1.0/2/3,1.00,4.00,3.6144578313253013
17801-21050,ARH DE ALAJUELA S.A.,3-47,FILTRO AIRE YARIS 2006-07     40,0.00,5.00,0
7803A004,REPUESTOS BARRIO SAN JOSE DE ALAJUELA SOCIEDAD ANONIMA,3-17,FILTRO AIRE CABINA MURANO SUNNY X-TRAL CIVIC DMAX  12- 2.5 3.0 LANCER  OUTLANDER,0.00,1.00,0
80292-SDA-A01,REPUESTOS BARRIO SAN JOSE DE ALAJUELA SOCIEDAD ANONIMA,3-18,FILTRO AIRE CABINA CIVIC 05-11 1.6/8 05/10 2.0 2012- 1.6 VERSION 11- 1.5 03-11 1.3,0.00,3.00,0
87139-28010,ARH DE ALAJUELA S.A.,3-68,FILTRO AIRE CABINAFILTRO AIRE CABINA COROLLA 02-08 1.8 1ZZ MIT 04-12 GEELY 05- 1.5  08- 1.,0.00,2.00,0
90915-03003,REPUESTOS BARRIO SAN JOSE DE ALAJUELA SOCIEDAD ANONIMA,3-76,FILTRO ACEITE TURBO DIESEL CORAXI ALTEZA 1.8 2.0 PH920,0.00,1.00,0
95861-71L00,ARH DE ALAJUELA S.A.,3-25,FILTRO AIRE CABINA SUZUKI IGNIS 16- 1.2 SWIFT 10-17 10- 1.4  11-  1.6,1.00,2.00,6.976744186046512
97133-2H001,,3-31,FILTRO AIRE CABINA  ELANTRA 07-1.6/8/2.0 03-13 CABINAENT 06-10 AVANTE 07- 1.6/8 2.0,0.00,4.00,0
13717798342,REPUESTOS BARRIO SAN JOSE DE ALAJUELA SOCIEDAD ANONIMA,3-93,FILTRO AIRE BMW X5 09-14 3.0 DIESEL AF3221 CA11013,1.00,1.00,13.043478260869566
13780-78K00,REPUESTOS BARRIO SAN JOSE DE ALAJUELA SOCIEDAD ANONIMA,3-102,FILTRO AIRE G.VITARA 09-13 2.4 V6 3.2   FMA-2139,3.00,2.00,20.930232558139533
SAF-4-5110,ARH DE ALAJUELA S.A.,3-104,FILTRO AIRE CITROEN BERLINGO 08-1.6 C3 C4 09- 1.4 1.6 C5 10- 1.6 PEUGEOT 07-13-,0.00,4.00,0
03L1154666956216250101,ARH DE ALAJUELA S.A.,3-133,FILTRO ACEITE ELEMENTO SOF-9-2022 CH10759 P995 AMAROK 10-16- 2.0 AUDI Q5 10-12 2.0,0.00,3.00,0
057-115-561M6956216256127,REPUESTOS BARRIO SAN JOSE DE ALAJUELA SOCIEDAD ANONIMA,3-137,FILTRO ACEITE ELEMENTO SOF-9-2257 CH10636 P984 AUDI Q7 09-12 3.0,2.00,1.00,26.086956521739133
27340M,ARH DE ALAJUELA S.A.,21-1024,"MANGUERA RADIADOR SUPERIOR TOY ECHO YARIS 1.3 1.5 16V 99-05 1/2NZ 1"" 3/16 OEM 1657221020",2.00,3.00,9.523809523809524
27343M,ARH DE ALAJUELA S.A.,21-1027,"MANGUERA RADIADOR SUPERIOR TOY RAV4 3S 2.0 4WD 95-01 1""  3/16",4.00,1.00,52.173913043478265
15450PR,ARH DE ALAJUELA S.A.,376-4,FAJA LAND CRUISER 93-4.5 CHEVROLET 6.2 89-91  15450,1.00,1.00,13.043478260869566
45700-60A00,ARH DE ALAJUELA S.A.,72-1087,ROTULA SUSPENSION INFERIOR SIDEKICK 88-VITARA 95- SB-7542,4.00,8.00,7.361963190184049
13A1145,ARH DE ALAJUELA S.A.,376-120,FAJA AUT 4RUNNER 22RE CASE IH 8.3 86-06 FORD  17450,0.00,4.00,0
13A1255,ARH DE ALAJUELA S.A.,376-125,FAJA AUT FORD F250 7.3 V8 FRONTIER 2.4 KA24.  17495,1.00,1.00,13.043478260869566
13A660,ARH DE ALAJUELA S.A.,376-131,FAJA AUT ELANTRA 96-98 DH 1.8 2.0 MD-176794  17260,0.00,4.00,0
27544M,ARH DE ALAJUELA S.A.,21-1015,"MANGUERA RADIADOR INFERIOR HONDA CRV -99  1"" 1/4",2.00,1.00,26.086956521739133
11A1090,ARH DE ALAJUELA S.A.,376-133,FAJA AUT  HYUNDAI GRACE STAREX 2X CARRO  15430,0.00,6.00,0
11A840,ARH DE ALAJUELA S.A.,376-139,FAJA AUT  SAMURAY 1.3 PONTIAC OPTIMA 88-90 AC GMC 15330,1.00,1.00,13.043478260869566
17A1040,ARH DE ALAJUELA S.A.,376-92,FAJA AUT LAND CRUISER 4.0 88-91 AL 22410,3.00,1.00,39.130434782608695
4PK1050,ARH DE ALAJUELA S.A.,376-102,FAJA MONTERO SPORT 4G64 TACOMA TUNDRA V6. 4PK1050,3.00,1.00,39.130434782608695
4PK900,ARH DE ALAJUELA S.A.,376-78,FAJA  AUT ACCENT ALT SENTRA GA16DE B13 91- CRV 2.0  4PK900,0.00,4.00,0
4PK915,ARH DE ALAJUELA S.A.,376-79,FAJA  AUT  SENTRA 89- TERCEL PASEO 91- ELAN 1.6   4PK915,0.00,2.00,0
4PK940,ARH DE ALAJUELA S.A.,376-81,FAJA ELANTRA 94-SORENTO 03-06 AC TERCEL 96-99. 4PK940,1.00,1.00,13.043478260869566
5PK1220,ARH DE ALAJUELA S.A.,376-91,FAJA FRONTIER 3.3 CORAXI 01-. 5PK1220,0.00,2.00,0
6PK1220,ARH DE ALAJUELA S.A.,376-40,FAJA ALT B.A COROLLA 1.8 2ZR 09-12. 6PK1220,0.00,2.00,0
5PK970,ARH DE ALAJUELA S.A.,376-62,FAJA BMW 93-03 OPTIMA 90- ALT 5PK970,1.00,3.00,4.761904761904762
6PK1030,ARH DE ALAJUELA S.A.,376-63,FAJA SENTRA 98-01 AL/AC TOY SOLARA CAMRY 98-. 6PK1030,1.00,1.00,13.043478260869566
4PK785,ARH DE ALAJUELA S.A.,376-69,FAJA  AUT G.METRO 1.0/3 TRACKER 1.6 CIVIC 90-95 VITARA  4PK785,0.00,2.00,0
4PK815 / 4PK0820 / K040322,ARH DE ALAJUELA S.A.,376-71,FAJA  AUT METRO ACCENT SENTRA TERCEL 2/3E TRACKER 4PK815,0.00,2.00,0
4PK875,ARH DE ALAJUELA S.A.,376-76,"FAJA  AUT ELANT/EXCEL CIVICPS 1.6,SPORTAGE TACOMA 4PK875",0.00,4.00,0
7PK1550,ARH DE ALAJUELA S.A.,376-22,FAJA UNICA RAV4 06-12 SIENNA AVALON V6 3.5.  7PK1550,0.00,2.00,0
91113-SA0-015,ARH DE ALAJUELA S.A.,127-1001,TACO HONDA 12MMX1.5.12.3M FRESADO 48.5X27.,0.00,20.00,0
MDFN5-250,ARH DE ALAJUELA S.A.,168-2008,TERMINAL ELECTRICA MACHO FORRO,37.00,13.00,42.20532319391635
52320-S10-003,ARH DE ALAJUELA S.A.,72-1038,ROTULA ESTABILIZADORA TRASERA RH CR-V RD1/2 98-  SL-6225R,3.00,3.00,14.285714285714285
54530-28000,ARH DE ALAJUELA S.A.,72-1042,ROTULA SUSPENSION INFERIOR ELANTRA 90-00  SB-8032,11.00,1.00,143.47826086956522
54830-25020 5483025020 CLKH-18R CL0261R 73-1001,ARH DE ALAJUELA S.A.,72-1046,ROTULA ESTABILIZADORA DELANTERA RH ACCENT VERNA 00-06  SLK- 8060R,5.00,7.00,10.48951048951049
54830-2E000 548302E000 SLK-8040 SLK-8230 CL0268 CL0345 CLKH-23 CLKK-29 72-3022 73-1002,ARH DE ALAJUELA S.A.,72-1047,ROTULA ESTABILIZADORA DELANTERA HY TUCSON 04-CLKH-23 SLK- 8040,4.00,8.00,7.361963190184049
48820-35021,ARH DE ALAJUELA S.A.,72-1051,ROTULA ESTABILIZADORA TACOMA 4WD VZN RZN 5-98 SL-3660,4.00,2.00,27.906976744186046
48810-35020,ARH DE ALAJUELA S.A.,72-1070,ROTULA ESTABILIZADORA LH TACOMA 01-03 SL-3790L,5.00,1.00,65.21739130434783
MB241206,ARH DE ALAJUELA S.A.,72-1033,ROTULA DIRECCION INTERNA MIT MONTERO 83-90 SE7252,2.00,4.00,7.228915662650603
23513M,ARH DE ALAJUELA S.A.,21-1037,"MANGUERA RADIADOR INFERIOR VITARA 1.6 8/16V 91-14  93-00 SAMURAY 1.31""1/6 OEM 1785260A00",2.00,1.00,26.086956521739133
29603M,ARH DE ALAJUELA S.A.,21-1004,MANGUERA CALEFACCION CODO 3/4,0.00,2.00,0
COHD0058,ARH DE ALAJUELA S.A.,513-001,"TAPON DE CARTER 12MM 1,25",1.00,5.00,2.912621359223301
SP-011,Importaciones RE RE S.A.,505-001,ABRO PINTURA NEGRO BRILLA AEROSOL 8oz,0.00,12.00,0
FC113640B,Importaciones RE RE S.A.,507-001,WAGNER LIQ FRENO DOT3 12oz PLAST  355m,0.00,48.00,0
EC-533,Importaciones RE RE S.A.,505-002,ABRO LIMP CONTACTOS ELECTRICOS 5.5 oz,6.00,6.00,14.634146341463413
EC-503,Importaciones RE RE S.A.,505-010,ABRO ENFRIADOR RADIADOR VERDE 1.gl 3.78,0.00,6.00,0
16067,Importaciones RE RE S.A.,506-003,PERMATEX REPARADOR PARABRISAS 17oz (c12),10.00,2.00,69.76744186046511
1364-S576/43153-SB6-671,Renapa S.A.,509-0503,ZAPATA FRENO HONDA CIVIC -02 ACCORD92- 94 FRENOIT V JAPON,0.00,5.00,0
1624-S924/44060ED026,Renapa S.A.,509-0543,ZAPATA FRENO MITSUBISHI LANCER 08- TIIDA NISSAN VERSA,0.00,10.00,0
1667-S1016/8979478020,Renapa S.A.,509-0546,ZAPATA FRENO MITSUBISHI SPORTERO 05- ISUZU DMAX 15- CHEV COLORAD,0.00,5.00,0
SA072/5830533B00,Renapa S.A.,509-0572,ZAPATA FRENO HYUNDAI GRACE 93- GALLOPER I -99,4.00,1.00,52.173913043478265
SA156/583501YA00,Renapa S.A.,509-0574,"ZAPATA FRENO KIA PICANTO 1,2 10-17",0.00,10.00,0
D2005SM/55810 M79F10,Renapa S.A.,509-0047,PASTILLA FRENO SEMI METALICA SUZUKI IGNIS SWIFT CELERIO DAIHATSU SIRION MOVE,0.00,2.00,0
D2007SM/55800 61M 00,Renapa S.A.,509-0048,PASTILLA FRENO SEMI METALICA SUZUKI VITARA 15- SWITF SX4 13- V/USA,8.00,2.00,55.81395348837209
D363SM/8-94461-155-0,Renapa S.A.,509-0061,PASTILLA FRENO SEMI METALICA ISUZU TROOPER -95,1.00,1.00,13.043478260869566
D497SM/58101 1CA10,Renapa S.A.,509-0070,PASTILLA FRENO SEMI METALICA HYUNDAI EXCEL 89- ELANTRA ACCENT-05 GETZ,0.00,10.00,0
D862SM/04465-42110,Renapa S.A.,509-0092,PASTILLA FRENO SEMI METALICA TOYOTA RAV4 00-05,6.00,4.00,21.686746987951807
D923SM/04465-02070,Renapa S.A.,509-0099,PASTILLA FRENO SEMI METALICA TOYOTA COROLLA MATRIX 03-08 GAS AVENISSANIS 01-,8.00,2.00,55.81395348837209
30610-3S557/30610-00QAC/BPC,Renapa S.A.,509-3538,BOMBA PRINCIPAL CLUTCH NISSAN FRONTIER 98- ZD30 XTERRA NP300 5/8,3.00,3.00,14.285714285714285
46010-01G00/ 46010-01G00/BPF,Renapa S.A.,509-2001,"BOMBA PRINCIPAL FRENO NISSAN D21 FRONTIER PATROL 2.8L 94- 1""",1.00,2.00,6.976744186046512
51100-56B10/51100-56B10/BPF,Renapa S.A.,509-2024,BOMBA PRINCIPAL FRENO SUZUKI SIDEKICK VITARA1.6L 4P 90-97 7/8,1.00,1.00,13.043478260869566
31410-12200/ 31410-12200/BPC,Renapa S.A.,509-3505,BOMBA PRINCIPAL CLUTCH TOYOTA COROLLA EE90/AE9 5/8 87-92,0.00,2.00,0
31410-34012/ 31410-34012/BPC,Renapa S.A.,509-3508,BOMBA PRINCIPAL CLUTCH TOYOTA HILUX 98-04 RUNNER TACOMA 5/8,0.00,2.00,0
46920-S10-C01/ 46920-S10-C01/BPC,Renapa S.A.,509-3520,BOMBA PRINCIPAL CLUTCH HONDA CRV 97-01 5/8,1.00,1.00,13.043478260869566
8-97946-626-1/ 8-97946-626-1/BPC,Renapa S.A.,509-3531,BOMBA PRINCIPAL CLUTCH ISUZU DMAX DSL 2.5 3.0 4X4 12- 5/8,0.00,1.00,0
GE4T-41-990/ GE4T-41-990/BPC,Renapa S.A.,509-3532,BOMBA PRINCIPAL CLUTCH MAZDA 323 98- 626 PROTEGE 5/8,0.00,2.00,0
