Expense Item ID,Expense ID,Expense Description,Project ID,Expense Category,Account ID,Total (BCY),Sub Total (BCY),Last Modified Time,Created Time,Vehicles
4198696000000966969,4198696000000966965,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 18,240.00","CRC 18,240.00",2023-11-03 08:36:10,2023-11-03 08:36:10,
4198696000000966995,4198696000000966991,CLEANING ITEMS,,Cleaning Expense,4198696000000297393,"CRC 2,323.01","CRC 2,323.01",2023-11-03 08:36:11,2023-11-03 08:36:11,
4198696000000967021,4198696000000967017,TOLL,,Toll Expenses,4198696000000297741,CRC 430.00,CRC 430.00,2023-11-03 08:36:11,2023-11-03 08:36:11,
4198696000000967047,4198696000000967043,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 20,348.00","CRC 20,348.00",2023-11-03 08:36:11,2023-11-03 08:36:11,
4198696000000967073,4198696000000967069,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 11,100.00","CRC 11,100.00",2023-11-03 08:36:11,2023-11-03 08:36:11,
4198696000000967099,4198696000000967095,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 17,212.00","CRC 17,212.00",2023-11-03 08:36:11,2023-11-03 08:36:11,
4198696000000967125,4198696000000967121,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 18,976.00","CRC 18,976.00",2023-11-03 08:36:12,2023-11-03 08:36:12,
4198696000000967151,4198696000000967147,EMERGENCY KIT,,Miscellaneous Expenses,4198696000000297699,"CRC 15,486.73","CRC 15,486.73",2023-11-03 08:36:12,2023-11-03 08:36:12,
4198696000000967177,4198696000000967173,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 15,531.00","CRC 15,531.00",2023-11-03 08:36:12,2023-11-03 08:36:12,
4198696000000967203,4198696000000967199,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 6,265.00","CRC 6,265.00",2023-11-03 08:36:12,2023-11-03 08:36:12,
4198696000000967229,4198696000000967225,TOLL,,Toll Expenses,4198696000000297741,CRC 430.00,CRC 430.00,2023-11-03 08:36:12,2023-11-03 08:36:12,
4198696000000967255,4198696000000967251,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 20,656.00","CRC 20,656.00",2023-11-03 08:36:12,2023-11-03 08:36:12,
4198696000000967281,4198696000000967277,PARKING,,Toll Expenses,4198696000000297741,"CRC 1,061.95","CRC 1,061.95",2023-11-03 08:36:12,2023-11-03 08:36:12,
4198696000000967307,4198696000000967303,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 11,985.00","CRC 11,985.00",2023-11-03 08:36:13,2023-11-03 08:36:13,
4198696000000967333,4198696000000967329,TOLL,,Toll Expenses,4198696000000297741,CRC 430.00,CRC 430.00,2023-11-03 08:36:13,2023-11-03 08:36:13,
4198696000000967359,4198696000000967355,Food,,Food & Drinks,4198696000000297327,"CRC 21,535.00","CRC 21,535.00",2023-11-03 08:36:13,2023-11-03 08:36:13,
4198696000000967385,4198696000000967381,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 20,001.00","CRC 20,001.00",2023-11-03 08:36:13,2023-11-03 08:36:13,
4198696000000967411,4198696000000967407,HOLDER CAR,,Miscellaneous Expenses,4198696000000297699,"CRC 9,646.00","CRC 9,646.00",2023-11-03 08:36:13,2023-11-03 08:36:13,
4198696000000967437,4198696000000967433,Coke,,Food & Drinks,4198696000000297327,"CRC 1,575.22","CRC 1,575.22",2023-11-03 08:36:13,2023-11-03 08:36:13,
4198696000000967463,4198696000000967459,TOLL,,Toll Expenses,4198696000000297741,CRC 430.00,CRC 430.00,2023-11-03 08:36:14,2023-11-03 08:36:14,
4198696000000967489,4198696000000967485,PAPER BOX,,Miscellaneous Expenses,4198696000000297699,"CRC 33,353.98","CRC 33,353.98",2023-11-03 08:36:14,2023-11-03 08:36:14,
4198696000000967515,4198696000000967511,Food,,Food & Drinks,4198696000000297327,"CRC 15,750.00","CRC 15,750.00",2023-11-03 08:36:14,2023-11-03 08:36:14,
4198696000000967541,4198696000000967537,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 11,681.43","CRC 11,681.43",2023-11-03 08:36:14,2023-11-03 08:36:14,
4198696000000967567,4198696000000967563,PARKING,,Toll Expenses,4198696000000297741,"CRC 1,199.60","CRC 1,199.60",2023-11-03 08:47:10,2023-11-03 08:36:14,
4198696000000967593,4198696000000967589,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 15,531.00","CRC 15,531.00",2023-11-03 08:36:14,2023-11-03 08:36:14,
4198696000000967663,4198696000000967659,Repuestos Gigante - Cleaning Items,,Cleaning Expense,4198696000000297393,"CRC 3,177.87","CRC 3,177.87",2023-11-03 08:44:24,2023-11-03 08:44:24,
4198696000000997009,4198696000000997005,OFFICE DEPOT,,Office Consumables,4198696000000297345,"CRC 18,008.84","CRC 18,008.84",2023-11-06 08:20:24,2023-11-06 08:20:24,
4198696000000997035,4198696000000997031,OFFICE DEPOT,,Office Consumables,4198696000000297345,"CRC 4,346.53","CRC 4,346.53",2023-11-06 08:20:24,2023-11-06 08:20:24,
4198696000000997061,4198696000000997057,LUCKY MARKET,,Office Consumables,4198696000000297345,"CRC 2,234.52","CRC 2,234.52",2023-11-06 08:20:24,2023-11-06 08:20:24,
4198696000000997087,4198696000000997083,EL RINCON DE LOS MILAGROS,,Food & Drinks,4198696000000297327,"CRC 22,750.00","CRC 22,750.00",2023-11-06 08:20:24,2023-11-06 08:20:24,
4198696000000997113,4198696000000997109,SUBWAY,,Food & Drinks,4198696000000297327,"CRC 19,672.57","CRC 19,672.57",2023-11-06 08:20:25,2023-11-06 08:20:25,
4198696000000997139,4198696000000997135,PIZZA HUT,,Food & Drinks,4198696000000297327,"CRC 12,300.00","CRC 12,300.00",2023-11-06 08:20:25,2023-11-06 08:20:25,
4198696000000997165,4198696000000997161,SERVICENTRO FAVORITA,,Fuel Expenses,4198696000000297777,"CRC 15,543.00","CRC 15,543.00",2023-11-06 08:20:25,2023-11-06 08:20:25,
4198696000000997191,4198696000000997187,SERVICENTRO LA LIMA,,Fuel Expenses,4198696000000297777,"CRC 16,512.00","CRC 16,512.00",2023-11-06 08:20:25,2023-11-06 08:20:25,
4198696000000997217,4198696000000997213,CHANCHEPE REST.,,Food & Drinks,4198696000000297327,"CRC 12,478.00","CRC 12,478.00",2023-11-06 08:20:26,2023-11-06 08:20:26,
4198696000000997243,4198696000000997239,REGISTRO NACIONAL,,Miscellaneous Expenses,4198696000000297699,"CRC 4,000.00","CRC 4,000.00",2023-11-06 08:20:26,2023-11-06 08:20:26,
4198696000000997269,4198696000000997265,PIZZA HUT,,Food & Drinks,4198696000000297327,"CRC 12,300.00","CRC 12,300.00",2023-11-06 08:20:26,2023-11-06 08:20:26,
4198696000000997295,4198696000000997291,AMPM,,Food & Drinks,4198696000000297327,"CRC 2,200.00","CRC 2,200.00",2023-11-06 08:20:26,2023-11-06 08:20:26,
4198696000000997321,4198696000000997317,TICO BURGUESAS,,Food & Drinks,4198696000000297327,"CRC 13,517.70","CRC 13,517.70",2023-11-06 08:20:27,2023-11-06 08:20:27,
4198696000000997347,4198696000000997343,SERVICENTRO LA TICA,,Fuel Expenses,4198696000000297777,"CRC 20,446.00","CRC 20,446.00",2023-11-06 08:20:27,2023-11-06 08:20:27,
4198696000000997373,4198696000000997369,MAS X MENOS,,Office Consumables,4198696000000297345,"CRC 7,336.60","CRC 7,336.60",2023-11-06 08:20:27,2023-11-06 08:20:27,
4198696000000997399,4198696000000997395,MAS X MENOS,,Office Consumables,4198696000000297345,"CRC 4,366.00","CRC 4,366.00",2023-11-06 08:20:27,2023-11-06 08:20:27,
4198696000000997425,4198696000000997421,SERVICENTRO FAVORITA,,Fuel Expenses,4198696000000297777,"CRC 21,261.00","CRC 21,261.00",2023-11-06 08:20:27,2023-11-06 08:20:27,
4198696000000997451,4198696000000997447,COMERCIALIZADORA 3 HALCONES,,Office Consumables,4198696000000297345,"CRC 3,500.00","CRC 3,500.00",2023-11-06 08:20:28,2023-11-06 08:20:28,
4198696000000997477,4198696000000997473,EL LAGAR,,Miscellaneous Expenses,4198696000000297699,"CRC 20,044.25","CRC 20,044.25",2023-11-06 08:20:28,2023-11-06 08:20:28,
4198696000000997503,4198696000000997499,LA FAVORITA PAVAS,,Fuel Expenses,4198696000000297777,"CRC 10,000.00","CRC 10,000.00",2023-11-06 08:20:28,2023-11-06 08:20:28,
4198696000000997529,4198696000000997525,CATOMA,,Miscellaneous Expenses,4198696000000297699,"CRC 10,000.00","CRC 10,000.00",2023-11-06 08:20:28,2023-11-06 08:20:28,
4198696000000997555,4198696000000997551,REPUESTOS GIGANTE,,Miscellaneous Expenses,4198696000000297699,"CRC 22,991.16","CRC 22,991.16",2023-11-06 08:20:29,2023-11-06 08:20:29,
4198696000000997581,4198696000000997577,EL LAGAR,,Miscellaneous Expenses,4198696000000297699,"CRC 21,292.04","CRC 21,292.04",2023-11-06 08:20:29,2023-11-06 08:20:29,
4198696000000997607,4198696000000997603,EL LAGAR,,Miscellaneous Expenses,4198696000000297699,"CRC 4,858.41","CRC 4,858.41",2023-11-06 08:20:29,2023-11-06 08:20:29,
4198696000000997633,4198696000000997629,SERVICENTRO METROPOLI,,Fuel Expenses,4198696000000297777,"CRC 22,000.00","CRC 22,000.00",2023-11-06 08:20:29,2023-11-06 08:20:29,
4198696000000997659,4198696000000997655,LIBRERÍA LEHMAN,,Office Consumables,4198696000000297345,CRC 619.47,CRC 619.47,2023-11-06 08:20:29,2023-11-06 08:20:29,
4198696000000997685,4198696000000997681,BRENES PIEDRA BREPI S.A,,Miscellaneous Expenses,4198696000000297699,"CRC 1,650.00","CRC 1,650.00",2023-11-06 08:20:30,2023-11-06 08:20:30,
4198696000000997711,4198696000000997707,COMERCIALIZADORA 3 HALCONES,,Miscellaneous Expenses,4198696000000297699,"CRC 8,840.00","CRC 8,840.00",2023-11-06 08:20:30,2023-11-06 08:20:30,
4198696000000997737,4198696000000997733,MAS X MENOS,,Cleaning Expense,4198696000000297393,"CRC 4,761.00","CRC 4,761.00",2023-11-06 08:20:30,2023-11-06 08:20:30,
4198696000000997763,4198696000000997759,MAS X MENOS,,Cleaning Expense,4198696000000297393,"CRC 1,062.00","CRC 1,062.00",2023-11-06 08:20:30,2023-11-06 08:20:30,
4198696000000997789,4198696000000997785,MAS X MENOS,,Cleaning Expense,4198696000000297393,"CRC 7,228.00","CRC 7,228.00",2023-11-06 08:20:31,2023-11-06 08:20:31,
4198696000000997815,4198696000000997811,TOLL,,Toll Expenses,4198696000000297741,CRC 420.00,CRC 420.00,2023-11-06 08:20:31,2023-11-06 08:20:31,
4198696000000997841,4198696000000997837,SERVICENTRO EL GUARCO,,Fuel Expenses,4198696000000297777,"CRC 20,058.00","CRC 20,058.00",2023-11-06 08:20:31,2023-11-06 08:20:31,
4198696000000997867,4198696000000997863,BANCO DE COSTA RICA,,Miscellaneous Expenses,4198696000000297699,"CRC 52,372.00","CRC 52,372.00",2023-11-06 08:20:32,2023-11-06 08:20:32,
4198696000000997893,4198696000000997889,TOLL,,Toll Expenses,4198696000000297741,CRC 275.00,CRC 275.00,2023-11-06 08:20:32,2023-11-06 08:20:32,
4198696000000997919,4198696000000997915,SERVICENTRO LA GARITA,,Fuel Expenses,4198696000000297777,"CRC 18,002.00","CRC 18,002.00",2023-11-06 08:20:32,2023-11-06 08:20:32,
4198696000000997945,4198696000000997941,CONSEJO TECNICO AVIACION,,Toll Expenses,4198696000000297741,"CRC 1,792.00","CRC 1,792.00",2023-11-06 08:20:32,2023-11-06 08:20:32,
4198696000001090540,4198696000001090536,TOLL,,Toll Expenses,4198696000000297741,CRC 420.00,CRC 420.00,2023-11-08 08:06:01,2023-11-08 08:06:01,
4198696000001090566,4198696000001090562,SERVICENTRO METROPOLI,,Fuel Expenses,4198696000000297777,"CRC 22,010.00","CRC 22,010.00",2023-11-08 08:06:01,2023-11-08 08:06:01,
4198696000001090592,4198696000001090588,TOLL,,Toll Expenses,4198696000000297741,CRC 420.00,CRC 420.00,2023-11-08 08:06:01,2023-11-08 08:06:01,
4198696000001090618,4198696000001090614,PARQUEO AUTO PARKING,,Toll Expenses,4198696000000297741,"CRC 1,800.00","CRC 1,800.00",2023-11-08 08:06:01,2023-11-08 08:06:01,
4198696000001090644,4198696000001090640,TOLL,,Toll Expenses,4198696000000297741,CRC 275.00,CRC 275.00,2023-11-08 08:06:01,2023-11-08 08:06:01,
4198696000001090670,4198696000001090666,UNO PETROL STATIONS,,Fuel Expenses,4198696000000297777,"CRC 22,001.00","CRC 22,001.00",2023-11-08 08:06:02,2023-11-08 08:06:02,
4198696000001090696,4198696000001090692,EL LAGAR,,Office Consumables,4198696000000297345,"CRC 3,097.35","CRC 3,097.35",2023-11-08 08:06:02,2023-11-08 08:06:02,
4198696000001090722,4198696000001090718,EPA,,Office Consumables,4198696000000297345,"CRC 14,376.11","CRC 14,376.11",2023-11-08 08:06:02,2023-11-08 08:06:02,
4198696000001090748,4198696000001090744,SERVICENTRO LA TICA,,Fuel Expenses,4198696000000297777,"CRC 22,001.00","CRC 22,001.00",2023-11-08 08:06:02,2023-11-08 08:06:02,
4198696000001090774,4198696000001090770,PETROLEOS DELTA,,Fuel Expenses,4198696000000297777,"CRC 10,000.00","CRC 10,000.00",2023-11-08 08:06:02,2023-11-08 08:06:02,
4198696000001090800,4198696000001090796,SERVICENTRO FAVORITA,,Fuel Expenses,4198696000000297777,"CRC 20,785.00","CRC 20,785.00",2023-11-08 08:06:02,2023-11-08 08:06:02,
4198696000001090826,4198696000001090822,GRUPO PURDY MOTOR,,Motor vehicle repair & maintenance,4198696000000297321,"CRC 22,068.56","CRC 22,068.56",2023-11-08 08:06:02,2023-11-08 08:06:02,
4198696000001090852,4198696000001090848,SERVICENTRO LA TICA,,Fuel Expenses,4198696000000297777,"CRC 19,013.00","CRC 19,013.00",2023-11-08 08:06:02,2023-11-08 08:06:02,
4198696000001090878,4198696000001090874,REPUESTOS BARRIO SAN JOSE,,Motor vehicle repair & maintenance,4198696000000297321,"CRC 6,600.13","CRC 6,600.13",2023-11-08 08:06:02,2023-11-08 08:06:02,
4198696000001090904,4198696000001090900,ARH DE ALAJUELA,,Motor vehicle repair & maintenance,4198696000000297321,"CRC 37,442.56","CRC 37,442.56",2023-11-08 08:06:03,2023-11-08 08:06:03,
4198696000001090930,4198696000001090926,FERRETERIA EL POTRO,,Motor vehicle repair & maintenance,4198696000000297321,"CRC 3,097.00","CRC 3,097.00",2023-11-08 08:06:03,2023-11-08 08:06:03,
4198696000001090956,4198696000001090952,VICELL N3,,Miscellaneous Expenses,4198696000000297699,"CRC 7,964.00","CRC 7,964.00",2023-11-08 08:06:03,2023-11-08 08:06:03,
4198696000001090982,4198696000001090978,PETROLEOS DELTA,,Fuel Expenses,4198696000000297777,"CRC 20,109.00","CRC 20,109.00",2023-11-08 08:06:03,2023-11-08 08:06:03,
4198696000001091008,4198696000001091004,LAS GRAVILAS S.A,,Miscellaneous Expenses,4198696000000297699,"CRC 42,920.00","CRC 42,920.00",2023-11-08 08:06:03,2023-11-08 08:06:03,
4198696000001091034,4198696000001091030,COCOCO,,Miscellaneous Expenses,4198696000000297699,"CRC 9,456.00","CRC 9,456.00",2023-11-08 08:06:04,2023-11-08 08:06:04,
4198696000001091060,4198696000001091056,BANCO DE COSTA RICA,,Miscellaneous Expenses,4198696000000297699,"CRC 51,997.75","CRC 51,997.75",2023-11-08 08:17:59,2023-11-08 08:06:04,
4198696000001091086,4198696000001091082,AUTOMAS S.A,,Motor vehicle repair & maintenance,4198696000000297321,"CRC 31,610.62","CRC 31,610.62",2023-11-08 08:06:04,2023-11-08 08:06:04,
4198696000001091112,4198696000001091108,SERVICENTRO LA TICA,,Fuel Expenses,4198696000000297777,"CRC 15,000.00","CRC 15,000.00",2023-11-08 08:06:04,2023-11-08 08:06:04,
4198696000001091138,4198696000001091134,REPUESTOS GIGANTE,,Motor vehicle repair & maintenance,4198696000000297321,"CRC 4,415.93","CRC 4,415.93",2023-11-08 08:06:04,2023-11-08 08:06:04,
4198696000001091190,4198696000001091186,PETROLEOS DELTA,,Fuel Expenses,4198696000000297777,"CRC 15,000.00","CRC 15,000.00",2023-11-08 08:06:04,2023-11-08 08:06:04,
4198696000001091230,4198696000001091226,,,Motor vehicle repair & maintenance,4198696000000297321,"CRC 4,415.93","CRC 4,415.93",2023-11-08 08:11:34,2023-11-08 08:11:34,
4198696000001091422,4198696000001091418,SERVICENTRO CARTAGO,,Fuel Expenses,4198696000000297777,"CRC 10,000.00","CRC 10,000.00",2023-11-08 08:51:05,2023-11-08 08:51:05,
4198696000001091448,4198696000001091444,AUTOMAS S.A,,Motor vehicle repair & maintenance,4198696000000297321,"CRC 8,840.71","CRC 8,840.71",2023-11-08 08:51:05,2023-11-08 08:51:05,
4198696000001091474,4198696000001091470,COMERCIALIZADORA 3 HALCONES,,Miscellaneous Expenses,4198696000000297699,CRC 850.00,CRC 850.00,2023-11-08 08:51:05,2023-11-08 08:51:05,
4198696000001091500,4198696000001091496,SERVICENTRO LA FAVORITA,,Fuel Expenses,4198696000000297777,"CRC 23,096.00","CRC 23,096.00",2023-11-08 08:51:05,2023-11-08 08:51:05,
4198696000001091526,4198696000001091522,EL LAGAR,,Repairs and Maintenance - Building,4198696000000297423,"CRC 48,055.33","CRC 48,055.33",2023-11-08 08:51:05,2023-11-08 08:51:05,
4198696000001091560,4198696000001091548,,,Round-off Account,4198696000000297693,CRC 1.56,CRC 1.56,2023-11-08 08:55:48,2023-11-08 08:55:48,
4198696000001093015,4198696000001093011,CONSTRUCTION MATERIALS,,Repairs and Maintenance - Building,4198696000000297423,"CRC 3,072.00","CRC 3,072.00",2023-11-08 09:10:40,2023-11-08 09:10:40,
4198696000001093041,4198696000001093037,CLEANING ITEMS,,Cleaning Expense,4198696000000297393,"CRC 3,070.80","CRC 3,070.80",2023-11-08 09:10:40,2023-11-08 09:10:40,
4198696000001093067,4198696000001093063,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 20,000.00","CRC 20,000.00",2023-11-08 09:10:40,2023-11-08 09:10:40,
4198696000001093093,4198696000001093089,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 22,502.00","CRC 22,502.00",2023-11-08 09:10:41,2023-11-08 09:10:41,
4198696000001093119,4198696000001093115,CONSTRUCTION MATERIALS,,Repairs and Maintenance - Building,4198696000000297423,"CRC 2,775.00","CRC 2,775.00",2023-11-08 09:10:41,2023-11-08 09:10:41,
4198696000001093145,4198696000001093141,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 21,006.00","CRC 21,006.00",2023-11-08 09:10:41,2023-11-08 09:10:41,
4198696000001093171,4198696000001093167,CLEANING ITEMS,,Cleaning Expense,4198696000000297393,"CRC 7,504.42","CRC 7,504.42",2023-11-08 09:10:41,2023-11-08 09:10:41,
4198696000001093197,4198696000001093193,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 20,413.00","CRC 20,413.00",2023-11-08 09:10:41,2023-11-08 09:10:41,
4198696000001093223,4198696000001093219,SERVICE OF THE CELLPHONE PANTERA,,Telephone Charges,4198696000000297375,"CRC 7,669.59","CRC 7,669.59",2023-11-08 09:10:41,2023-11-08 09:10:41,
4198696000001093249,4198696000001093245,SERVICE OF THE CELLPHONE PANTERA,,Telephone Charges,4198696000000297375,CRC 57.52,CRC 57.52,2023-11-08 09:10:42,2023-11-08 09:10:42,
4198696000001093275,4198696000001093271,TOLL,,Toll Expenses,4198696000000297741,CRC 75.00,CRC 75.00,2023-11-08 09:10:42,2023-11-08 09:10:42,
4198696000001093301,4198696000001093297,TOLL,,Toll Expenses,4198696000000297741,CRC 75.00,CRC 75.00,2023-11-08 09:10:42,2023-11-08 09:10:42,
4198696000001093327,4198696000001093323,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 24,001.00","CRC 24,001.00",2023-11-08 09:10:42,2023-11-08 09:10:42,
4198696000001093353,4198696000001093349,CAR MAINTAINANCE PRODUCTS,,Motor vehicle repair & maintenance,4198696000000297321,"CRC 9,858.41","CRC 9,858.41",2023-11-08 09:10:42,2023-11-08 09:10:42,
4198696000001093379,4198696000001093375,LITE ACE FUEL,,Fuel Expenses,4198696000000297777,"CRC 5,000.00","CRC 5,000.00",2023-11-08 09:10:42,2023-11-08 09:10:42,
4198696000001093405,4198696000001093401,YARIS OIL,,Motor vehicle repair & maintenance,4198696000000297321,"CRC 17,494.40","CRC 17,494.40",2023-11-08 09:10:43,2023-11-08 09:10:43,
4198696000001093431,4198696000001093427,YARIS OIL FILTER,,Motor vehicle repair & maintenance,4198696000000297321,CRC 811.47,CRC 811.47,2023-11-08 09:10:43,2023-11-08 09:10:43,
4198696000001093457,4198696000001093453,CERTICATE SERVICE,,Miscellaneous Expenses,4198696000000297699,"CRC 36,300.00","CRC 36,300.00",2023-11-08 09:10:43,2023-11-08 09:10:43,
4198696000001093483,4198696000001093479,OFFICE ITEMS,,Office Consumables,4198696000000297345,"CRC 5,172.00","CRC 5,172.00",2023-11-08 09:10:43,2023-11-08 09:10:43,
4198696000001093509,4198696000001093505,CONSTRUCTION MATERIALS,,Repairs and Maintenance - Building,4198696000000297423,"CRC 1,061.95","CRC 1,061.95",2023-11-08 09:10:43,2023-11-08 09:10:43,
4198696000001093535,4198696000001093531,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 23,786.00","CRC 23,786.00",2023-11-08 09:10:43,2023-11-08 09:10:43,
4198696000001093561,4198696000001093557,WAREHOUSE MAINTENANCE,,Repairs and Maintenance - Building,4198696000000297423,"CRC 20,442.48","CRC 20,442.48",2023-11-08 09:10:43,2023-11-08 09:10:43,
4198696000001093587,4198696000001093583,CAR WASH,,Miscellaneous Expenses,4198696000000297699,"CRC 10,000.00","CRC 10,000.00",2023-11-08 09:10:44,2023-11-08 09:10:44,
4198696000001093613,4198696000001093609,WAREHOUSE MAINTENANCE,,Repairs and Maintenance - Building,4198696000000297423,"CRC 13,380.00","CRC 13,380.00",2023-11-08 09:10:44,2023-11-08 09:10:44,
4198696000001093639,4198696000001093635,CAR FUEL,,Fuel Expenses,4198696000000297777,"CRC 10,000.00","CRC 10,000.00",2023-11-08 09:10:44,2023-11-08 09:10:44,
