Item_ID,SKU,Product_ID,Sales_24M_Qty,Sales_24M_Net,Avg_Demand_6M,Last_Purchase_Price,On_Hand_Qty,Cost_Fallback,Resolved_Unit_Cost,Resolved_On_Hand_Qty,Coverage_Months,Reorder_Flag,Stock_Shortfall,Months_Short,Inventory_Value,Has_Last_Purchase,Has_On_Hand,SKU_Rule_Violation
4198696000028303125,800-3969,,1,91600,1,,0,60000,60000,0,0,1,1,1,,0,1,0
4198696000025079444,800-3551,,1,18124,1,,0,12900,12900,0,0,1,1,1,,0,1,0
4198696000023627623,72-3326,,2,11000,2,,2,3570,3570,2,1,0,0,0,7140,0,1,0
4198696000020178361,800-2918,,1,5000,1,,0,3200,3200,0,0,1,1,1,,0,1,0
4198696000015965072,510-1045,,3,227201.42,1.5,,5,53085.34,53085.34,5,3.3333333333333335,0,0,0,265426.69999999995,0,1,0
4198696000012946745,800-1729,,3,16995,1,,0,3325,3325,0,0,1,1,1,,0,1,0
4198696000011326124,510-1001,,1,89332,1,,2,67405.18,67405.18,2,2,0,0,0,134810.36,0,1,0
4198696000011064504,512-217,,2,25000,2,,0,8710.75,8710.75,0,0,1,2,1,,0,1,0
4198696000010936655,800-1927,,1,27500,1,,0,18000,18000,0,0,1,1,1,,0,1,0
4198696000009640007,800-1701,,2,50000,2,,0,9950,9950,0,0,1,2,1,,0,1,0
4198696000006818067,800-1190,,3,47400,1.5,,0,10480.21,10480.21,0,0,1,1.5,1,,0,1,0
4198696000006753234,800-1171,,1,6100,1,,0,3995,3995,0,0,1,1,1,,0,1,0
4198696000004421754,83-2042,,8,136750.44,2.6666666666666665,,92,8619,8619,92,34.5,0,0,0,792948,0,1,0
4198696000000677764,376-63,,1,5000,1,,2,3349.43,3349.43,2,2,0,0,0,6698.86,0,1,0
4198696000000669651,3-18,,7,11916,3.5,,6,1160.58,1160.58,6,1.7142857142857142,0,0,0,6963.48,0,1,0
4198696000000137215,11-322,,3,57500,1,,3,8060.8,8060.8,3,3,0,0,0,24182.4,0,1,0
4198696000028336710,800-3983,,1,11000,1,,0,6948.42,6948.42,0,0,1,1,1,,0,1,0
4198696000026474072,516-009,,1,3504.43,1,,9,2330,2330,9,9,0,0,0,20970,0,1,0
4198696000026427490,800-3703,,2,20800,2,,0,6800,6800,0,0,1,2,1,,0,1,0
4198696000020642563,800-3006,,1,39376,1,,0,31385.8,31385.8,0,0,1,1,1,,0,1,0
4198696000018926866,800-2709,,1,113200,1,,0,74183.96,74183.96,0,0,1,1,1,,0,1,0
4198696000018177953,509-2611,,2,22080,2,,2,7846.73,7846.73,2,1,0,0,0,15693.46,0,1,0
4198696000017698268,800-2506,,1,27500,1,,0,18000,18000,0,0,1,1,1,,0,1,0
4198696000012057110,512-243,,1,27300,1,,0,10538.42,10538.42,0,0,1,1,1,,0,1,0
4198696000011874295,530-0041,,2,26400,2,,1,8630,8630,1,0.5,1,1,0.5,8630,0,1,0
4198696000011718178,800-2030,,1,8600,1,,0,4300,4300,0,0,1,1,1,,0,1,0
4198696000008096324,524-0156,,2,4600,2,,0,1473,1473,0,0,1,2,1,,0,1,0
4198696000006361253,800-1044,,1,30600,1,,0,20000,20000,0,0,1,1,1,,0,1,0
4198696000004483671,800-555,,1,76300,1,,0,50000,50000,0,0,1,1,1,,0,1,0
4198696000003484028,800-340,,1,3600,1,,0,2350,2350,0,0,1,1,1,,0,1,0
4198696000002318019,800-135,,1,3600,1,,0,2900,2900,0,0,1,1,1,,0,1,0
4198696000001674994,527-0005,,1,26800,1,,4,20000,20000,4,4,0,0,0,80000,0,1,0
4198696000001611692,520-0104,,1,22500,1,,4,14726.75,14726.75,4,4,0,0,0,58907,0,1,0
4198696000001040194,173-34,,6,39600,6,,48,5000,5000,48,8,0,0,0,240000,0,1,0
4198696000000866206,509-3024,,2,25545,1,,1,8548.08,8548.08,1,1,0,0,0,8548.08,0,1,0
4198696000000677755,376-62,,3,12264,1.5,,2,2728.68,2728.68,2,1.3333333333333333,0,0,0,5457.36,0,1,0
4198696000005540382,800-860,,2,114200,1,,0,34900,34900,0,0,1,1,1,,0,1,0
4198696000033148666,800-4502,,1,13938,1,,0,8900,8900,0,0,1,1,1,,0,1,0
4198696000023852076,800-3398,,2,30600,2,,0,9800,9800,0,0,1,2,1,,0,1,0
4198696000020878051,800-3027,,1,10800,1,,0,7020,7020,0,0,1,1,1,,0,1,0
4198696000018367611,800-2605,,1,30500,1,,0,17000,17000,0,0,1,1,1,,0,1,0
4198696000016991169,524-0674,,1,3100,1,,3,1990,1990,3,3,0,0,0,5970,0,1,0
4198696000013855171,800-2185,,1,20000,1,,0,13069,13069,0,0,1,1,1,,0,1,0
4198696000010341763,800-1811,,2,25000,2,,0,6300,6300,0,0,1,2,1,,0,1,0
4198696000004420105,83-2020,,1,8900,1,,99,4336.8,4336.8,99,99,0,0,0,429343.2,0,1,0
4198696000001612763,518-0507,,2,105600,2,,2,34594.16,34594.16,2,1,0,0,0,69188.32,0,1,0
4198696000028427007,524-0688,,1,120300,1,,1,78457.46,78457.46,1,1,0,0,0,78457.46,0,1,0
4198696000008352480,800-1493,,1,31200,1,,0,20400,20400,0,0,1,1,1,,0,1,0
4198696000001674886,526-0015,,1,9292,1,,1,6580,6580,1,1,0,0,0,6580,0,1,0
4198696000031481430,800-4391,,2,2300.88,2,,0,1027.1,1027.1,0,0,1,2,1,,0,1,0
4198696000026460001,800-3718,,1,42800,1,,0,27961.6,27961.6,0,0,1,1,1,,0,1,0
4198696000018234482,800-2593,,7,110751.77,1.75,,0,10400,10400,0,0,1,1.75,1,,0,1,0
4198696000017986590,800-2548,,1,71700,1,,0,46990,46990,0,0,1,1,1,,0,1,0
4198696000017003839,800-2443,,1,28000,1,,0,15086.52,15086.52,0,0,1,1,1,,0,1,0
4198696000012360282,44-1057,,2,2400,2,,2,745,745,2,1,0,0,0,1490,0,1,0
4198696000007811759,73-1036,,16,72176.39,2,,184,2200,2200,184,92,0,0,0,404800,0,1,0
4198696000006693137,800-1157,,1,42400,1,,0,31660,31660,0,0,1,1,1,,0,1,0
4198696000006285650,800-1040,,4,37000,2,,0,5525,5525,0,0,1,2,1,,0,1,0
4198696000004629560,317-507,,3,37700,1,,97,6500,6500,97,97,0,0,0,630500,0,1,0
4198696000003679336,530-0012,,4,23912,1,,8,3990,3990,8,8,0,0,0,31920,0,1,0
4198696000001610306,519-0001,,9,57610,1.8,,6,4354.7,4354.7,6,3.333333333333333,0,0,0,26128.199999999997,0,1,0
4198696000000138178,15-291,,1,11300,1,,49,4970.24,4970.24,49,49,0,0,0,243541.75999999998,0,1,0
4198696000023999065,800-3408,,2,46184,2,,0,16420,16420,0,0,1,2,1,,0,1,0
4198696000018677299,800-2639,,2,55936,2,,0,19866,19866,0,0,1,2,1,,0,1,0
4198696000017641019,800-2494,,3,19200,3,,0,4150,4150,0,0,1,3,1,,0,1,0
4198696000015724038,800-2334,,1,34408,1,,0,24480.59,24480.59,0,0,1,1,1,,0,1,0
4198696000005304258,800-794,,6,50256,2,,0,5872,5872,0,0,1,2,1,,0,1,0
4198696000004629587,318-501,,4,91630,2,,98,10400,10400,98,49,0,0,0,1019200,0,1,0
4198696000001089280,127-1024,,4,2800,4,,44,475.31,475.31,44,11,0,0,0,20913.64,0,1,0
4198696000029926159,800-4192,,1,23451.33,1,,0,12100,12100,0,0,1,1,1,,0,1,0
4198696000011063647,533-068,,5,146551.15,1,,1,19950,19950,1,1,0,0,0,19950,0,1,0
4198696000001663046,800-067,,3,31000,1,,0,5600,5600,0,0,1,1,1,,0,1,0
4198696000000670146,3-73,,2,7680,1,,2,2072.02,2072.02,2,2,0,0,0,4144.04,0,1,0
4198696000025869921,800-3632,,1,48800,1,,0,31950,31950,0,0,1,1,1,,0,1,0
4198696000025051106,800-3541,,1,22300,1,,0,14267.77,14267.77,0,0,1,1,1,,0,1,0
4198696000024424249,800-3469,,1,15548,1,,0,11061.95,11061.95,0,0,1,1,1,,0,1,0
4198696000023429274,800-3314,,1,17600,1,,0,11500,11500,0,0,1,1,1,,0,1,0
4198696000020642545,800-3005,,1,26680,1,,0,22338.05,22338.05,0,0,1,1,1,,0,1,0
4198696000019575114,800-2820,,2,70280,1,,0,21950,21950,0,0,1,1,1,,0,1,0
4198696000018519129,72-3304,,7,45800.44,1.75,,4,3827.5,3827.5,4,2.2857142857142856,0,0,0,15310,0,1,0
4198696000016988602,800-2436,,3,121800,1,,0,26595,26595,0,0,1,1,1,,0,1,0
4198696000012887033,533-106,,15,380274.64,1.875,,6,19500,19500,6,3.2,0,0,0,117000,0,1,0
4198696000011147510,533-074,,10,330929.2,2,,5,22630,22630,5,2.5,0,0,0,113150,0,1,0
4198696000010703157,72-3222,,5,37276.11,1.25,,0,4844.4,4844.4,0,0,1,1.25,1,,0,1,0
4198696000009530552,72-3081,,16,113664,2.6666666666666665,,2,4836,4836,2,0.75,1,0.6666666666666665,0.25,9672,0,1,0
4198696000009417158,800-1671,,4,4000,4,,0,595,595,0,0,1,4,1,,0,1,0
4198696000008585068,527-0039,,1,24500,1,,6,18648,18648,6,6,0,0,0,111888,0,1,0
4198696000008096315,800-1441,,1,27600,1,,0,13467.4,13467.4,0,0,1,1,1,,0,1,0
4198696000007629448,800-1344,,1,12300,1,,0,8000,8000,0,0,1,1,1,,0,1,0
4198696000005728682,800-912,,1,13300,1,,0,8655.29,8655.29,0,0,1,1,1,,0,1,0
4198696000005304236,533-073,,8,232000,2.6666666666666665,,10,18950,18950,10,3.75,0,0,0,189500,0,1,0
4198696000004993740,800-709,,2,16400,1,,0,5350,5350,0,0,1,1,1,,0,1,0
4198696000004629929,245-2001,,4,95500,1.3333333333333333,,46,11000,11000,46,34.5,0,0,0,506000,0,1,0
4198696000004546379,800-564,,2,68800,1,,0,20000,20000,0,0,1,1,1,,0,1,0
4198696000004421295,214-1007,,14,61029.28,2,,189,2379,2379,189,94.5,0,0,0,449631,0,1,0
4198696000004417781,11-1018,,16,298499.25,3.2,,85,9000,9000,85,26.5625,0,0,0,765000,0,1,0
4198696000004417745,11-1013,,2,39400,1,,48,9672,9672,48,48,0,0,0,464256,0,1,0
4198696000001969321,524-0644,,13,77324,1.625,,0,3989.96,3989.96,0,0,1,1.625,1,,0,1,0
4198696000001614851,522-0037,,8,236000,2,,2,19639.07,19639.07,2,1,0,0,0,39278.14,0,1,0
4198696000001531090,520-0144,,2,41420,2,,4,15806.28,15806.28,4,2,0,0,0,63225.12,0,1,0
4198696000001407344,525-0001,,8,43050,1.1428571428571428,,5,4900,4900,5,4.375,0,0,0,24500,0,1,0
4198696000001057791,517-002,,2,56800,1,,1,18018,18018,1,1,0,0,0,18018,0,1,0
4198696000001040941,77-1,,97,8909.98,5.705882352941177,,113,28.16,28.16,113,19.804123711340207,0,0,0,3182.08,0,1,0
4198696000000864955,509-2574,,27,262623,2.4545454545454546,,4,5920,5920,4,1.6296296296296295,0,0,0,23680,0,1,0
4198696000000863848,509-1524,,12,227200,3,,4,13326.59,13326.59,4,1.3333333333333333,0,0,0,53306.36,0,1,0
4198696000000679285,72-1047,,8,35200,2,,4,3015.68,3015.68,4,2,0,0,0,12062.72,0,1,0
4198696000000678268,376-119,,1,2500,1,,1,1585.68,1585.68,1,1,0,0,0,1585.68,0,1,0
4198696000000677413,376-24,,1,9200,1,,1,6026,6026,1,1,0,0,0,6026,0,1,0
4198696000000669768,3-31,,8,19317,1.6,,0,1479.5,1479.5,0,0,1,1.6,1,,0,1,0
4198696000000513120,86-10,,31,6090,3.4444444444444446,,180,40,40,180,52.25806451612903,0,0,0,7200,0,1,0
4198696000000138961,46-137,,6,146092.48,1.2,,25,7575.04,7575.04,25,20.833333333333336,0,0,0,189376,0,1,0
4198696000000137296,11-360,,6,143145,1,,20,8426.88,8426.88,20,20,0,0,0,168537.59999999998,0,1,0
4198696000000136702,11-124,,7,139640.35,1.1666666666666667,,19,8638.08,8638.08,19,16.285714285714285,0,0,0,164123.52,0,1,0
4198696000000791001,513-001,,5,6720,1.25,,1,900.23,900.23,1,0.8,1,0.25,0.19999999999999996,900.23,0,1,0
4198696000000142075,164-12,,20,45587.39,1.8181818181818181,,92,1200,1200,92,50.6,0,0,0,110400,0,1,0
4198696000000140995,114-72,,9,59880,3,,44,2907.52,2907.52,44,14.666666666666666,0,0,0,127930.88,0,1,0
4198696000000670047,3-62,,13,29980.09,2.1666666666666665,,5,1598.07,1598.07,5,2.307692307692308,0,0,0,7990.349999999999,0,1,0
4198696000029319160,800-4118,,1,24913.27,1,,0,20000,20000,0,0,1,1,1,,0,1,0
4198696000029058471,800-4101,,1,710000,1,,0,464734.74,464734.74,0,0,1,1,1,,0,1,0
4198696000021746033,800-3086,,1,33200,1,,0,21740,21740,0,0,1,1,1,,0,1,0
4198696000020417684,343-35,,4,6897.34,1.3333333333333333,,3,1385.6933,1385.6933,3,2.25,0,0,0,4157.0799,0,1,0
4198696000020072171,800-2901,,1,73232,1,,0,52144.2,52144.2,0,0,1,1,1,,0,1,0
4198696000017581232,511-2010,,1,47256.64,1,,1,40000,40000,1,1,0,0,0,40000,0,1,0
4198696000016155726,530-1061,,1,10120,1,,1,3300,3300,1,1,0,0,0,3300,0,1,0
4198696000015145207,520-0169,,3,60488.01,1,,1,13450,13450,1,1,0,0,0,13450,0,1,0
4198696000014271165,130-2031,,3,34257.53,1,,1,6900,6900,1,1,0,0,0,6900,0,1,0
4198696000012467094,800-1327,,1,10600,1,,0,6900,6900,0,0,1,1,1,,0,1,0
4198696000010698575,72-5007,,2,12672,1,,2,4290,4290,2,2,0,0,0,8580,0,1,0
4198696000010435322,524-0625,,2,8400,1,,0,2700,2700,0,0,1,1,1,,0,1,0
4198696000009740080,530-0036,,3,6716,1,,0,1500,1500,0,0,1,1,1,,0,1,0
4198696000008899721,72-3193,,4,41160,2,,6,4475,4475,6,3,0,0,0,26850,0,1,0
4198696000008545414,44-1003,,5,16456,1.6666666666666667,,1,2178,2178,1,0.6,1,0.6666666666666667,0.4,2178,0,1,0
4198696000006015001,800-969,,2,11970,2,,0,4122.5,4122.5,0,0,1,2,1,,0,1,0
4198696000001614770,522-0161,,8,249768,2.6666666666666665,,4,23011.98,23011.98,4,1.5,0,0,0,92047.92,0,1,0
4198696000001406318,524-0013,,1,2300,1,,2,1550,1550,2,2,0,0,0,3100,0,1,0
4198696000000861598,509-0099,,2,23616,1,,9,8043.53,8043.53,9,9,0,0,0,72391.77,0,1,0
4198696000000136846,11-209,,2,66058.41,1,,4,15312,15312,4,4,0,0,0,61248,0,1,0
4198696000000678115,376-102,,1,3300,1,,3,2140.32,2140.32,3,3,0,0,0,6420.960000000001,0,1,0
4198696000019941524,800-2884,,1,26000,1,,0,16500,16500,0,0,1,1,1,,0,1,0
4198696000018430019,800-2608,,2,74520,2,,0,26504.42,26504.42,0,0,1,2,1,,0,1,0
4198696000013514878,517-1074,,2,73575.22,1,,2,24897.5,24897.5,2,2,0,0,0,49795,0,1,0
4198696000011767287,800-2051,,1,29300,1,,0,19199.24,19199.24,0,0,1,1,1,,0,1,0
4198696000008817739,800-1575,,1,126000,1,,0,117276.18,117276.18,0,0,1,1,1,,0,1,0
4198696000008589176,800-1529,,1,47300,1,,0,30945,30945,0,0,1,1,1,,0,1,0
4198696000004715030,800-603,,2,14400,1,,0,4538.7,4538.7,0,0,1,1,1,,0,1,0
4198696000004417862,11-1028,,1,18525,1,,49,9555,9555,49,49,0,0,0,468195,0,1,0
4198696000002744148,535-0012,,2,14100,1,,1,5100,5100,1,1,0,0,0,5100,0,1,0
4198696000001040995,77-19,,2,300,2,,198,98.56,98.56,198,99,0,0,0,19514.88,0,1,0
4198696000000679492,72-1070,,1,5100,1,,5,3331.03,3331.03,5,5,0,0,0,16655.15,0,1,0
4198696000000670461,3-108,,3,12408,1.5,,0,2878.96,2878.96,0,0,1,1.5,1,,0,1,0
4198696000000670173,3-76,,2,6688,1,,2,2507.98,2507.98,2,2,0,0,0,5015.96,0,1,0
4198696000026045364,800-3660,,1,13984,1,,0,9950,9950,0,0,1,1,1,,0,1,0
4198696000011064347,512-200,,2,21120,1,,0,6550.49,6550.49,0,0,1,1,1,,0,1,0
4198696000024699193,800-3505,,1,75000,1,,0,49000,49000,0,0,1,1,1,,0,1,0
4198696000022937864,800-3247,,2,17400,2,,0,6995,6995,0,0,1,2,1,,0,1,0
4198696000018863075,800-2693,,1,36432,1,,0,25900,25900,0,0,1,1,1,,0,1,0
4198696000013486381,800-2141,,4,134400,4,,0,22010,22010,0,0,1,4,1,,0,1,0
4198696000013293263,800-2088,,2,30000,2,,0,9500,9500,0,0,1,2,1,,0,1,0
4198696000010840401,800-1912,,1,8600,1,,0,4300,4300,0,0,1,1,1,,0,1,0
4198696000010703671,800-1880,,2,69000,2,,0,22568.11,22568.11,0,0,1,2,1,,0,1,0
4198696000009964065,800-1760,,1,48600,1,,0,31844.03,31844.03,0,0,1,1,1,,0,1,0
4198696000007971654,800-1412,,1,16800,1,,0,11000,11000,0,0,1,1,1,,0,1,0
4198696000004483178,800-552,,1,10700,1,,0,7000,7000,0,0,1,1,1,,0,1,0
4198696000002614201,800-167,,2,6400,2,,0,2556.74,2556.74,0,0,1,2,1,,0,1,0
4198696000001611755,528-0015,,1,4400,1,,1,2868.69,2868.69,1,1,0,0,0,2868.69,0,1,0
4198696000001041040,77-4,,4,736,4,,196,77.44,77.44,196,49,0,0,0,15178.24,0,1,0
4198696000000142768,214-89,,2,16740,2,,18,3132.8,3132.8,18,9,0,0,0,56390.4,0,1,0
4198696000009282081,800-1646,,1,140000,1,,0,80425,80425,0,0,1,1,1,,0,1,0
4198696000004592138,800-572,,2,8400,2,,0,3200,3200,0,0,1,2,1,,0,1,0
4198696000003168074,800-278,,1,33700,1,,0,28668,28668,0,0,1,1,1,,0,1,0
4198696000032007001,800-4407,,2,68672.56,2,,0,21971.48,21971.48,0,0,1,2,1,,0,1,0
4198696000015864030,72-3270,,4,22080,4,,2,3900,3900,2,0.5,1,2,0.5,7800,0,1,0
4198696000015464949,67-1010,,6,417831.86,1.2,,23,31900,31900,23,19.166666666666668,0,0,0,733700,0,1,0
4198696000012103090,376-3178,,1,5700,1,,1,3700,3700,1,1,0,0,0,3700,0,1,0
4198696000006703235,72-3043,,5,32807.65,1,,1,4347,4347,1,1,0,0,0,4347,0,1,0
4198696000001611962,528-0009,,3,37170,3,,1,8217.92,8217.92,1,0.3333333333333333,1,2,0.6666666666666667,8217.92,0,1,0
4198696000001407245,524-0132,,5,20700,1,,2,2399.99,2399.99,2,2,0,0,0,4799.98,0,1,0
4198696000000864352,509-2507,,3,28652,1.5,,1,6381.69,6381.69,1,0.6666666666666666,1,0.5,0.33333333333333337,6381.69,0,1,0
4198696000018794543,800-2667,,1,76100,1,,0,49842.93,49842.93,0,0,1,1,1,,0,1,0
4198696000014419995,510-1036,,2,131900,1,,2,41254.72,41254.72,2,2,0,0,0,82509.44,0,1,0
4198696000006389546,518-0603,,4,58878.76,1.3333333333333333,,0,9600,9600,0,0,1,1.3333333333333333,1,,0,1,0
4198696000003679421,530-0021,,1,12900,1,,2,8450,8450,2,2,0,0,0,16900,0,1,0
4198696000001046604,512-133,,3,36361.06,1,,2,8349.07,8349.07,2,2,0,0,0,16698.14,0,1,0
4198696000000897891,504-079,,1,5100,1,,1,3281.49,3281.49,1,1,0,0,0,3281.49,0,1,0
4198696000014974525,800-2266,,1,24500,1,,0,15763,15763,0,0,1,1,1,,0,1,0
4198696000024993706,800-3535,,1,8100,1,,0,5300,5300,0,0,1,1,1,,0,1,0
4198696000028104141,800-3946,,1,4940,1,,0,3407.5,3407.5,0,0,1,1,1,,0,1,0
4198696000015355001,800-2303,,1,30600,1,,0,20000,20000,0,0,1,1,1,,0,1,0
4198696000029319179,800-4119,,1,40707.96,1,,0,29000,29000,0,0,1,1,1,,0,1,0
4198696000029058738,800-4102,,1,9734.51,1,,0,6182.76,6182.76,0,0,1,1,1,,0,1,0
4198696000027402687,800-3862,,3,229065.49,1.5,,0,51342.35,51342.35,0,0,1,1.5,1,,0,1,0
4198696000027117992,800-3805,,2,13000,2,,0,3372.5,3372.5,0,0,1,2,1,,0,1,0
4198696000022953441,800-3249,,1,3900,1,,0,2500,2500,0,0,1,1,1,,0,1,0
4198696000022544766,800-3183,,2,36600,2,,0,11976,11976,0,0,1,2,1,,0,1,0
4198696000021527807,800-3083,,2,46000,2,,0,12000,12000,0,0,1,2,1,,0,1,0
4198696000019778549,529-113,,4,210930,1.3333333333333333,,1,35000,35000,1,0.75,1,0.33333333333333326,0.25,35000,0,1,0
4198696000017650142,800-2504,,4,38000,2,,0,6491,6491,0,0,1,2,1,,0,1,0
4198696000015465192,351-2019,,3,134320,1.5,,27,20500,20500,27,18,0,0,0,553500,0,1,0
4198696000014500956,510-1037,,5,388620,1,,2,52555.26,52555.26,2,2,0,0,0,105110.52,0,1,0
4198696000012524160,800-1368,,2,39961.06,1,,0,13850,13850,0,0,1,1,1,,0,1,0
4198696000012467652,800-1332,,1,37400,1,,0,24483.6,24483.6,0,0,1,1,1,,0,1,0
4198696000010698588,800-1876,,1,9200,1,,0,5990,5990,0,0,1,1,1,,0,1,0
4198696000007116053,800-1265,,1,26700,1,,0,17487.22,17487.22,0,0,1,1,1,,0,1,0
4198696000006545287,106-2000,,15,58855.75,1.5,,8,2520.8,2520.8,8,5.333333333333333,0,0,0,20166.4,0,1,0
4198696000006494486,517-3001,,4,85119.47,1.3333333333333333,,1,13995,13995,1,0.75,1,0.33333333333333326,0.25,13995,0,1,0
4198696000004832078,534-0055,,8,40111.5,2,,3,2950,2950,3,1.5,0,0,0,8850,0,1,0
4198696000004421776,800-536,,2,23200,1,,0,9502.14,9502.14,0,0,1,1,1,,0,1,0
4198696000004421700,83-2013,,2,25200,2,,98,6154.2,6154.2,98,49,0,0,0,603111.6,0,1,0
4198696000004421016,136-1005,,8,149266.11,2.6666666666666665,,39,9906,9906,39,14.625,0,0,0,386334,0,1,0
4198696000004224366,800-507,,3,107736,1,,0,24900,24900,0,0,1,1,1,,0,1,0
4198696000003937104,800-428,,1,5100,1,,0,3300,3300,0,0,1,1,1,,0,1,0
4198696000003661309,72-3094,,8,21952,2,,4,1798.06,1798.06,4,2,0,0,0,7192.24,0,1,0
4198696000003396171,509-0214,,2,28400,1,,2,10298.15,10298.15,2,2,0,0,0,20596.3,0,1,0
4198696000002574049,529-045,,10,330100,1.25,,5,20000,20000,5,4,0,0,0,100000,0,1,0
