Payment ID,Payment Number,Payment Date,Customer ID,Amount (BCY),Unused Amount (BCY),Created Time,Exchange Rate,Refund Amount (BCY),Currency Code,Last Modified Time
4198696000001353934,68,22 Nov 2023,4198696000001363223,"CRC 26,125.00",CRC 0.00,2023-11-22 17:31:50,1.00,CRC 0.00,CRC,2023-11-23 09:19:22
4198696000001353980,69,22 Nov 2023,4198696000001363297,"CRC 37,620.00",CRC 0.00,2023-11-22 17:38:03,1.00,CRC 0.00,CRC,2023-12-08 19:05:28
4198696000001374010,70,22 Nov 2023,4198696000000917003,"CRC 49,900.00",CRC 0.00,2023-11-22 17:54:59,1.00,CRC 0.00,CRC,2023-12-07 21:52:08
4198696000001377064,71,23 Nov 2023,4198696000000917003,"CRC 6,600.00",CRC 0.00,2023-11-23 09:34:06,1.00,CRC 0.00,CRC,2023-11-23 09:34:06
4198696000001377584,72,23 Nov 2023,4198696000000917003,"CRC 5,200.00",CRC 0.00,2023-11-23 12:54:25,1.00,CRC 0.00,CRC,2023-11-23 12:54:25
4198696000001399001,73,23 Nov 2023,4198696000000917003,"CRC 12,065.00",CRC 0.00,2023-11-23 13:20:26,1.00,CRC 0.00,CRC,2023-11-23 13:20:26
4198696000001418001,74,23 Nov 2023,4198696000000917003,"CRC 33,600.00",CRC 0.00,2023-11-24 09:05:10,1.00,CRC 0.00,CRC,2023-11-24 09:05:10
4198696000001422651,75,24 Nov 2023,4198696000001423003,"CRC 43,700.00",CRC 0.00,2023-11-24 11:17:54,1.00,CRC 0.00,CRC,2023-11-24 11:17:54
4198696000001422679,76,24 Nov 2023,4198696000000629023,"CRC 8,265.00",CRC 0.00,2023-11-24 11:26:22,1.00,CRC 0.00,CRC,2023-11-24 11:26:22
4198696000001422707,77,24 Nov 2023,4198696000001067094,"CRC 23,400.00",CRC 0.00,2023-11-24 11:31:31,1.00,CRC 0.00,CRC,2023-11-24 11:31:49
4198696000001422749,78,24 Nov 2023,4198696000001067094,CRC 700.00,CRC 0.00,2023-11-24 11:32:38,1.00,CRC 0.00,CRC,2023-11-24 11:32:38
4198696000001422773,79,24 Nov 2023,4198696000000917003,"CRC 9,200.00",CRC 0.00,2023-11-24 12:32:41,1.00,CRC 0.00,CRC,2023-11-24 12:32:41
4198696000001422801,80,24 Nov 2023,4198696000001067094,"CRC 4,000.00",CRC 0.00,2023-11-24 12:45:54,1.00,CRC 0.00,CRC,2023-11-24 12:45:54
4198696000001422827,81,24 Nov 2023,4198696000001067094,"CRC 7,200.00",CRC 0.00,2023-11-24 12:46:32,1.00,CRC 0.00,CRC,2023-12-07 19:59:48
4198696000001422853,82,24 Nov 2023,4198696000000917003,"CRC 5,000.00",CRC 0.00,2023-11-24 13:43:39,1.00,CRC 0.00,CRC,2023-11-24 13:43:39
4198696000001423162,83,25 Nov 2023,4198696000001423064,"CRC 24,795.00",CRC 0.00,2023-11-25 11:23:34,1.00,CRC 0.00,CRC,2023-11-25 11:23:34
4198696000001423190,84,25 Nov 2023,4198696000000917003,"CRC 36,860.00",CRC 0.00,2023-11-25 11:31:52,1.00,CRC 0.00,CRC,2023-11-25 11:31:52
4198696000001423264,85,25 Nov 2023,4198696000001120001,"CRC 18,050.00",CRC 0.00,2023-11-25 11:37:01,1.00,CRC 0.00,CRC,2023-11-25 11:37:01
4198696000001423360,86,25 Nov 2023,4198696000001423292,"CRC 7,220.00",CRC 0.00,2023-11-25 12:24:05,1.00,CRC 0.00,CRC,2023-11-25 12:24:05
4198696000001461001,87,27 Nov 2023,4198696000000917003,"CRC 18,700.00",CRC 0.00,2023-11-27 10:02:11,1.00,CRC 0.00,CRC,2023-11-27 10:02:11
4198696000001461064,88,27 Nov 2023,4198696000000917003,"CRC 2,100.00",CRC 0.00,2023-11-27 10:30:19,1.00,CRC 0.00,CRC,2023-11-27 10:30:19
4198696000001469054,89,27 Nov 2023,4198696000001471001,"CRC 20,100.00",CRC 0.00,2023-11-27 16:02:02,1.00,CRC 0.00,CRC,2023-11-27 16:02:02
4198696000001469112,90,27 Nov 2023,4198696000000917003,"CRC 25,100.00",CRC 0.00,2023-11-27 16:15:23,1.00,CRC 0.00,CRC,2023-11-27 16:15:23
4198696000001469144,91,27 Nov 2023,4198696000001471062,"CRC 24,600.00",CRC 0.00,2023-11-27 17:41:14,1.00,CRC 0.00,CRC,2023-11-27 17:41:14
4198696000001481060,92,28 Nov 2023,4198696000001481001,"CRC 10,260.00",CRC 0.00,2023-11-28 10:17:29,1.00,CRC 0.00,CRC,2023-11-28 10:17:29
4198696000001481557,93,28 Nov 2023,4198696000000917003,"CRC 286,101.00",CRC 0.00,2023-11-28 15:17:44,1.00,CRC 0.00,CRC,2023-11-28 15:17:44
4198696000001481587,94,28 Nov 2023,4198696000001490001,"CRC 296,400.00",CRC 0.00,2023-11-28 15:48:12,1.00,CRC 0.00,CRC,2023-11-28 15:51:01
4198696000001484009,95,29 Nov 2023,4198696000001490102,"CRC 3,600.00",CRC 0.00,2023-11-29 10:51:12,1.00,CRC 0.00,CRC,2023-11-29 10:51:12
4198696000001484035,96,29 Nov 2023,4198696000001490161,"CRC 22,900.00",CRC 0.00,2023-11-29 11:03:24,1.00,CRC 0.00,CRC,2023-11-29 11:03:24
4198696000001484093,97,29 Nov 2023,4198696000000917003,"CRC 31,800.00",CRC 0.00,2023-11-29 12:01:01,1.00,CRC 0.00,CRC,2023-11-29 12:01:01
4198696000001484119,98,29 Nov 2023,4198696000000917003,CRC 684.00,CRC 0.00,2023-11-29 12:10:37,1.00,CRC 0.00,CRC,2023-11-29 12:10:37
4198696000001484145,99,29 Nov 2023,4198696000000917003,CRC 534.00,CRC 0.00,2023-11-29 13:09:14,1.00,CRC 0.00,CRC,2023-11-29 13:09:14
4198696000001484173,100,29 Nov 2023,4198696000001067094,"CRC 16,900.00",CRC 0.00,2023-11-29 13:14:31,1.00,CRC 0.00,CRC,2023-11-29 13:14:31
4198696000001484201,101,29 Nov 2023,4198696000001481001,"CRC 11,100.00",CRC 0.00,2023-11-29 14:44:05,1.00,CRC 0.00,CRC,2023-11-29 14:44:05
4198696000001484241,102,29 Nov 2023,4198696000001490300,"CRC 24,000.00",CRC 0.00,2023-11-29 16:08:54,1.00,CRC 0.00,CRC,2023-11-29 16:24:30
4198696000001484291,103,29 Nov 2023,4198696000001490300,"CRC 26,400.00",CRC 0.00,2023-11-29 16:25:09,1.00,CRC 0.00,CRC,2023-11-29 16:25:09
4198696000001531001,104,30 Nov 2023,4198696000001363297,"CRC 64,410.00",CRC 0.00,2023-11-30 12:14:52,1.00,CRC 0.00,CRC,2023-11-30 12:14:52
4198696000001531064,105,30 Nov 2023,4198696000000917003,"CRC 10,900.00",CRC 0.00,2023-11-30 14:23:07,1.00,CRC 0.00,CRC,2023-11-30 14:23:07
4198696000001546001,106,30 Nov 2023,4198696000001122115,"CRC 20,000.00",CRC 0.00,2023-12-01 09:25:17,1.00,CRC 0.00,CRC,2023-12-01 09:25:17
4198696000001546027,107,30 Nov 2023,4198696000000633001,"CRC 46,947.21",CRC 0.00,2023-12-01 09:25:38,1.00,CRC 0.00,CRC,2023-12-01 09:25:38
4198696000001546053,108,30 Nov 2023,4198696000001122213,"CRC 5,994.83",CRC 0.00,2023-12-01 09:26:05,1.00,CRC 0.00,CRC,2023-12-01 09:26:05
4198696000001546079,109,30 Nov 2023,4198696000000705978,"CRC 4,262.37",CRC 0.00,2023-12-01 09:26:38,1.00,CRC 0.00,CRC,2023-12-01 09:26:38
4198696000001546105,110,30 Nov 2023,4198696000001243016,"CRC 4,262.24",CRC 0.00,2023-12-01 09:26:55,1.00,CRC 0.00,CRC,2023-12-01 09:26:55
4198696000001546131,111,30 Nov 2023,4198696000000629023,"CRC 2,729.62",CRC 0.00,2023-12-01 09:27:10,1.00,CRC 0.00,CRC,2023-12-01 09:27:10
4198696000001567243,119,30 Nov 2023,4198696000000917003,"CRC 10,000.00",CRC 0.00,2023-12-02 12:33:58,1.00,CRC 0.00,CRC,2023-12-07 19:02:45
4198696000001567269,120,02 Dec 2023,4198696000000917003,"CRC 39,970.00",CRC 0.00,2023-12-02 12:34:26,1.00,CRC 0.00,CRC,2023-12-02 12:45:16
4198696000001570001,112,02 Dec 2023,4198696000000917003,"CRC 45,800.00",CRC 0.00,2023-12-02 09:40:42,1.00,CRC 0.00,CRC,2023-12-02 09:40:42
4198696000001570029,113,02 Dec 2023,4198696000000917003,"CRC 5,320.00",CRC 0.00,2023-12-02 10:13:30,1.00,CRC 0.00,CRC,2023-12-02 10:13:30
4198696000001570057,114,02 Dec 2023,4198696000000917003,"CRC 10,500.00",CRC 0.00,2023-12-02 10:54:26,1.00,CRC 0.00,CRC,2023-12-02 10:54:26
4198696000001570085,115,02 Dec 2023,4198696000000917003,"CRC 39,995.00",CRC 0.00,2023-12-02 12:03:55,1.00,CRC 0.00,CRC,2023-12-02 12:03:55
4198696000001570113,116,02 Dec 2023,4198696000000917003,"CRC 10,355.00",CRC 0.00,2023-12-02 12:08:23,1.00,CRC 0.00,CRC,2023-12-02 12:08:23
4198696000001570141,117,02 Dec 2023,4198696000000917003,"CRC 5,350.00",CRC 0.00,2023-12-02 12:09:27,1.00,CRC 0.00,CRC,2023-12-02 12:09:27
4198696000001570171,118,02 Dec 2023,4198696000000917003,"CRC 17,005.00",CRC 0.00,2023-12-02 12:20:58,1.00,CRC 0.00,CRC,2023-12-02 12:20:58
4198696000001570231,121,30 Nov 2023,4198696000000917003,"CRC 20,000.00",CRC 0.00,2023-12-02 12:43:18,1.00,CRC 0.00,CRC,2023-12-07 18:54:50
4198696000001570257,122,02 Dec 2023,4198696000000917003,"CRC 21,420.00",CRC 0.00,2023-12-02 12:43:51,1.00,CRC 0.00,CRC,2023-12-14 09:58:17
4198696000001630033,123,04 Dec 2023,4198696000001490300,"CRC 39,182.75",CRC 0.00,2023-12-04 10:43:02,1.00,CRC 0.00,CRC,2023-12-04 10:43:02
4198696000001630071,124,04 Dec 2023,4198696000000917003,"CRC 42,300.00",CRC 0.00,2023-12-04 11:49:31,1.00,CRC 0.00,CRC,2023-12-04 11:49:31
4198696000001630097,125,04 Dec 2023,4198696000000917003,"CRC 42,300.00",CRC 0.00,2023-12-04 11:49:50,1.00,CRC 0.00,CRC,2023-12-04 11:49:50
4198696000001630167,126,04 Dec 2023,4198696000000917003,"CRC 38,950.00",CRC 0.00,2023-12-04 12:24:02,1.00,CRC 0.00,CRC,2023-12-04 12:25:29
4198696000001630275,127,04 Dec 2023,4198696000001630193,"CRC 45,505.00",CRC 0.00,2023-12-04 12:56:48,1.00,CRC 0.00,CRC,2023-12-04 12:56:48
4198696000001630362,128,04 Dec 2023,4198696000001630301,"CRC 17,575.00",CRC 0.00,2023-12-04 13:16:46,1.00,CRC 0.00,CRC,2023-12-04 13:16:46
4198696000001630451,129,04 Dec 2023,4198696000000917003,CRC 460.00,CRC 0.00,2023-12-04 14:00:03,1.00,CRC 0.00,CRC,2023-12-04 14:00:03
4198696000001630477,130,04 Dec 2023,4198696000000917003,"CRC 32,900.00",CRC 0.00,2023-12-04 14:10:39,1.00,CRC 0.00,CRC,2023-12-04 14:10:39
4198696000001630503,131,04 Dec 2023,4198696000000917003,"CRC 4,600.00",CRC 0.00,2023-12-04 14:11:30,1.00,CRC 0.00,CRC,2023-12-04 14:11:30
4198696000001630529,132,04 Dec 2023,4198696000001631050,"CRC 9,600.00",CRC 0.00,2023-12-04 14:13:41,1.00,CRC 0.00,CRC,2023-12-04 14:13:41
4198696000001630569,133,04 Dec 2023,4198696000001523103,"CRC 48,640.00",CRC 0.00,2023-12-04 14:32:42,1.00,CRC 0.00,CRC,2023-12-04 14:32:42
4198696000001630595,134,04 Dec 2023,4198696000001490300,"CRC 32,627.75",CRC 0.00,2023-12-04 16:01:27,1.00,CRC 0.00,CRC,2023-12-05 09:24:05
4198696000001630623,135,04 Dec 2023,4198696000001490300,"CRC 12,000.00",CRC 0.00,2023-12-04 16:11:11,1.00,CRC 0.00,CRC,2023-12-04 16:11:11
4198696000001630649,136,04 Dec 2023,4198696000000917003,"CRC 7,600.00",CRC 0.00,2023-12-04 16:38:06,1.00,CRC 0.00,CRC,2023-12-04 16:38:06
4198696000001630675,137,04 Dec 2023,4198696000000917003,"CRC 54,700.00",CRC 0.00,2023-12-04 17:19:12,1.00,CRC 0.00,CRC,2023-12-04 17:19:12
4198696000001630701,138,04 Dec 2023,4198696000001471062,"CRC 43,225.00",CRC 0.00,2023-12-04 17:29:04,1.00,CRC 0.00,CRC,2023-12-05 09:29:17
4198696000001630781,139,04 Dec 2023,4198696000000917003,"CRC 17,500.00",CRC 0.00,2023-12-04 17:42:12,1.00,CRC 0.00,CRC,2023-12-04 17:42:12
4198696000001640384,140,05 Dec 2023,4198696000000917003,"CRC 5,200.00",CRC 0.00,2023-12-05 10:03:23,1.00,CRC 0.00,CRC,2023-12-05 10:03:23
4198696000001640447,141,05 Dec 2023,4198696000000917003,"CRC 7,600.00",CRC 0.00,2023-12-05 10:32:55,1.00,CRC 0.00,CRC,2023-12-05 10:32:55
4198696000001640495,142,05 Dec 2023,4198696000000917003,"CRC 29,260.00",CRC 0.00,2023-12-05 11:00:00,1.00,CRC 0.00,CRC,2023-12-05 11:00:00
4198696000001640521,143,05 Dec 2023,4198696000000917003,"CRC 8,075.00",CRC 0.00,2023-12-05 11:25:41,1.00,CRC 0.00,CRC,2023-12-05 11:25:41
4198696000001640593,144,05 Dec 2023,4198696000000917003,"CRC 12,300.00",CRC 0.00,2023-12-05 15:01:48,1.00,CRC 0.00,CRC,2023-12-05 15:01:48
4198696000001640687,145,05 Dec 2023,4198696000000917003,"CRC 4,200.00",CRC 0.00,2023-12-05 16:52:14,1.00,CRC 0.00,CRC,2023-12-05 16:52:14
4198696000001640754,146,05 Dec 2023,4198696000000917003,"CRC 3,300.00",CRC 0.00,2023-12-05 17:28:04,1.00,CRC 0.00,CRC,2023-12-05 17:28:04
4198696000001640856,147,05 Dec 2023,4198696000000917003,"CRC 48,900.00",CRC 0.00,2023-12-05 18:35:12,1.00,CRC 0.00,CRC,2023-12-05 18:35:12
4198696000001673061,148,06 Dec 2023,4198696000001481001,"CRC 12,000.00",CRC 0.00,2023-12-06 10:25:36,1.00,CRC 0.00,CRC,2023-12-06 10:25:36
4198696000001673152,149,06 Dec 2023,4198696000000917003,"CRC 61,600.00",CRC 0.00,2023-12-06 10:53:15,1.00,CRC 0.00,CRC,2023-12-06 10:53:15
4198696000001673178,150,06 Dec 2023,4198696000001675001,"CRC 86,900.00",CRC 0.00,2023-12-06 11:50:58,1.00,CRC 0.00,CRC,2023-12-06 11:50:58
4198696000001673321,151,06 Dec 2023,4198696000000917003,"CRC 8,180.00",CRC 0.00,2023-12-06 12:22:47,1.00,CRC 0.00,CRC,2023-12-06 12:22:47
4198696000001673347,152,06 Dec 2023,4198696000001481001,"CRC 24,200.00",CRC 0.00,2023-12-06 12:45:55,1.00,CRC 0.00,CRC,2023-12-06 12:45:55
4198696000001673373,153,06 Dec 2023,4198696000001490300,"CRC 5,510.00",CRC 0.00,2023-12-06 12:56:20,1.00,CRC 0.00,CRC,2023-12-06 12:56:20
4198696000001673479,154,06 Dec 2023,4198696000001655005,"CRC 18,050.00",CRC 0.00,2023-12-06 15:46:16,1.00,CRC 0.00,CRC,2023-12-06 15:46:16
4198696000001673507,156,06 Dec 2023,4198696000001686256,"CRC 25,100.00",CRC 0.00,2023-12-06 17:27:08,1.00,CRC 0.00,CRC,2023-12-06 17:27:08
4198696000001686278,155,06 Dec 2023,4198696000001166055,"CRC 56,994.80",CRC 0.00,2023-12-06 16:49:57,1.00,CRC 0.00,CRC,2023-12-06 16:49:57
4198696000001708077,168,07 Dec 2023,4198696000001686256,"CRC 40,115.00",CRC 0.00,2023-12-08 08:59:41,1.00,CRC 0.00,CRC,2023-12-08 10:24:14
4198696000001708105,169,08 Dec 2023,4198696000000917003,"CRC 2,500.00",CRC 0.00,2023-12-08 09:15:01,1.00,CRC 0.00,CRC,2023-12-08 09:15:01
4198696000001708141,170,08 Dec 2023,4198696000001363297,"CRC 113,525.00",CRC 0.00,2023-12-08 10:46:43,1.00,CRC 0.00,CRC,2023-12-08 10:46:43
